,Total area of the country (excl. coastal water) (1000 ha),Rural population (1000 inhab),Urban population (1000 inhab),Population density (inhab/km2),GDP per capita (current US$/inhab),"Agriculture, value added (% GDP) (%)",Human Development Index (HDI) [highest = 1] (-),National Rainfall Index (NRI) (mm/yr),Total renewable water resources per capita (m3/inhab/yr),Dam capacity per capita (m3/inhab),Agricultural water withdrawal (10^9 m3/year),Industrial water withdrawal (km<sup>3</sup>/year or 10<sup>9</sup>m<sup>3</sup>/year),Municipal water withdrawal (km<sup>3</sup>/year or 10<sup>9</sup>m<sup>3</sup>/year),Total water withdrawal (10^9 m3/yr),Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),Agricultural water withdrawal as % of total water withdrawal (%),SDG 6.4.2. Water Stress (%),SDG 6.4.1. Water Use Efficiency (US$/m3),SDG 6.4.1. Irrigated Agriculture Water Use Efficiency (US$/m3),SDG 6.4.1. Industrial Water Use Efficiency (US$/m3),Total population with access to safe drinking-water (JMP) (%),Rural population with access to safe drinking-water (JMP) (%),Urban population with access to safe drinking-water (JMP) (%),"Mortality rate, infant (per 1,000 live births)",Net official development assistance and official aid received (current US$),nutrient security,population ages0-14,Population ages 65 and above (_ of total population),Resilience and securityStorage drought duration index(Total dam capacity_km3),latitude,longitude,water security index
0,0.038168229131026514,0.02986741884863244,0.010618362231801608,0.006753895239677741,0.004585862340865063,0.28605328497582944,0.20689655172413793,0.04563119958424656,0.0035404690002309846,0.0015788556533522335,0.029069767441860465,0.0008082975679542205,0.0025416129292277928,0.026763676617203736,0.11407754109490946,0.9867827822110702,0.014213728932160137,0.000594481275208386,0.0021159319134666462,0.0005642348690193268,0.34553440702781846,0.41885964912280704,0.5578093306288032,0.5654911838790931,0.45169839435057285,0.6317991631799164,0.8035252757175787,0.054357146172239586,0.0023873872749762713,0.7069439288443536,0.6822237204816809,1
1,0.0017241792748738302,0.0012159555078824393,0.002172626448552421,0.012224855515793547,0.034868607944935626,0.18118809727695648,0.6637931034482759,0.0928271233929096,0.005189420948237574,0.013434342325765979,0.0030915697674418602,0.0005836909871244635,0.007743229082701916,0.0037581106082162793,0.19905898716214546,0.746046732331508,0.01500325156544824,0.002508488976786174,0.005276213079848317,0.00037980633706621413,1.0,1.0,1.0,0.11209068010075567,0.09648007525068342,0.04184100418410042,0.22485468159909502,0.38468712937754684,0.0016481290619897169,0.7648485741571472,0.6177270645398969,3
2,0.45274093621530953,0.003876038115008689,0.024886692689772522,0.00014930861069732421,0.5260659181998147,0.031137786605701993,0.9724137931034484,0.19591815983912148,0.03936496405332195,0.09025311965347461,0.015261627906976744,0.012694325226514067,0.04270111236498468,0.0217453722702975,0.1371965591394065,0.6375742506251832,0.0016579504393213348,0.05904163829850928,0.008248166845966612,0.0022552551285281255,1.0,1.0,1.0,0.01889168765743073,0.07240072768888275,0.0502092050209205,0.18511917543666115,0.5499861202360752,0.09243704469262655,0.14760678117239429,0.8701654818089491,4
3,0.005049716370169827,0.004935425496361491,0.00642939577052258,0.014073121000185335,0.036912942114870465,0.06757237615473288,0.653448275862069,0.12321779605486138,0.006927792790691371,0.062414695654973006,0.013473837209302324,0.014601812112541726,0.005642431081734644,0.016788172207905423,0.26612846082167746,0.7290191437559549,0.014651687005223141,0.002840182629200595,0.0039252104564910665,0.00012848971579087533,0.8096632503660322,0.756578947368421,0.8924949290060853,0.20906801007556672,0.06902082807312863,1.0,0.2961935333272942,0.19704753864447924,0.025599826596539987,0.7655475861886558,0.6249491492636244,3
4,0.008639436565350664,0.11878198816557152,0.06999874820014935,0.13571250180776595,0.012648669165026102,0.16205469476153306,0.4068965517241379,0.6455362993424769,0.015114676952786281,0.0011569943267284851,0.04578488372093023,0.003671912255603243,0.04532081251007577,0.04712796065041766,0.044614124980978935,0.8827212834302439,0.0014792712067323206,0.004519096020184465,0.013084979653869898,0.0016143101021252025,0.808199121522694,0.8574561403508772,0.7261663286004056,0.30226700251889166,0.4699138865682718,0.100418410041841,0.3967634760203938,0.1498873896325336,0.007696917560986218,0.6100825873269119,0.7466478341142301,2
5,0.002230320640028448,0.0005434186908576281,0.00036447624729349446,0.0021958244375340948,0.027558010395165044,0.20990843231493275,0.41724137931034483,0.7302686580653908,0.2057872728909676,0.0,0.0004622093023255814,1.430615164520744e-05,0.00019395856843462838,0.0004364028577882535,0.09180496602295377,0.945703160985178,0.00036004963304261874,0.004638134662206458,0.009464291329389644,0.004551256733086866,1.0,1.0,1.0,0.2795969773299748,0.0745751787776118,0.2280334728033473,0.34679980728681276,0.18388277176299073,0.0,0.6462536261249134,0.7468677368790877,3
6,0.0003222601019184126,0.00010938053116691979,0.0003728256114217651,0.009018006597304281,0.256494730724892,0.012852729500218528,0.810344827586207,1.0,0.039389195547016594,0.003024896336762091,7.703488372093023e-06,0.0028171793037672864,0.001887947364178623,0.00011314148164880647,0.04298625255733354,0.05790718630247645,0.000893142169704928,0.058388988796525335,0.0693982288106854,0.0014849098922966443,0.9860907759882869,0.9708059210526316,0.9959432048681541,0.10075566750629722,0.07554291612423715,0.17573221757322174,0.27418919888012655,0.15094754512178085,5.349102210478193e-05,0.8110878658123606,0.5007736068320632,3
7,0.010573172636081785,0.013863141979109782,0.0043412946273334784,0.010890875792756922,0.011683591341749825,0.28246158489489587,0.3534482758620689,0.6565515059764557,0.058496669169452065,1.781752227159406e-06,0.002984011627906977,0.00015736766809728184,0.0012141302595518296,0.0028621772494688198,0.0264142181594127,0.9448888762411164,0.00026207135252284767,0.005571263299461106,0.005962544657610009,0.0040643596431239395,0.6412884333821376,0.6611842105263157,1.0,0.26700251889168763,0.1483507064016968,0.11715481171548117,0.5003295006812196,0.13265611604728822,1.1883460801275619e-06,0.5050484727059417,0.7882805765833425,2
8,0.561454931252153,0.6722956159892203,1.0,0.018813989978665888,0.07954396682815701,0.09209464203848167,0.6551724137931035,0.28966039270623856,0.003845976713945076,0.01630751324602501,0.5598837209302325,0.6366237482117311,1.0,0.7859378936052198,0.08321944763742457,0.6473764503280176,0.011217906726151045,0.017029072297828886,0.03598379832927061,0.0007950955921627705,0.9341142020497804,0.9232456140350878,0.949290060851927,0.06549118387909318,0.0036737973296205586,0.10460251046025104,0.1459053057069155,0.38425969460914144,0.9868738857027349,0.7251050171116256,0.7860172565352086,3
9,0.007034745019736238,0.010985573589276513,0.018623763626491915,0.02632966069539925,0.0053050819478820494,0.27598047529831554,0.3355603448275863,0.18551373229093704,0.005967615251203427,0.02380975271737635,0.009607558139534884,0.005460181211254173,0.011350354667096565,0.01136920772447513,0.06851275979741477,0.7674292204429205,0.007197303996460687,0.0012622561467627586,0.006528618672951045,7.74801441814273e-05,0.9956076134699854,0.993421052631579,0.9979716024340772,0.419080604534005,0.26232070406425234,0.04184100418410042,0.682029117964741,0.09754450553324889,0.025224268831452953,0.5341055290907082,0.4817860129893406,4
