,Unnamed: 0,Country,GDP per capita (current US$/inhab),"Agriculture, value added (% GDP) (%)",Human Development Index (HDI) [highest = 1] (-),Agricultural water withdrawal as % of total water withdrawal (%),Total population with access to safe drinking-water (JMP) (%),Urban population with access to safe drinking-water (JMP) (%),Net official development assistance and official aid received (current US$),"Mortality rate, infant (per 1,000 live births)",Water Security Index
0,0,North Macedonia,6822.040996348544,6.0364857542857076,0.8043400000000052,43.47093069720053,99.42704761904766,99.80000000000004,172406212.0,-11.270129680633545,3.0
1,1,Azerbaijan,7748.171322047594,-5.291170942857207,0.8197600000000023,74.08264811500959,93.63180952380979,98.09047619047622,672882464.0,-4.757847785949707,3.0
2,2,Georgia,5469.622341384762,-15.779686032381962,0.8389000000000024,56.115028656819156,105.65600000000019,102.00761904761913,197757600.0,12.10188102722168,4.0
3,3,Turkmenistan,9186.813922040164,9.120985990476585,0.7431999999999999,92.4246425856,61.052,89.09999999999998,12493855.875,30.685701370239254,4.0
4,4,Cuba,7858.43343985814,1.6435198424243822,0.8312761904761903,70.00252495040036,97.25600000000004,97.24952380952386,-1752293504.0,3.45952570438385,4.0
5,5,Equatorial Guinea,17485.105486871675,-3.1630090290907447,0.6253400000000031,4.607176217871441,48.09600000000002,80.7520000000002,363435536.0,54.53725624084473,4.0
6,6,Mongolia,3843.192940596317,15.927100644848553,0.8019314285714287,54.77800876640015,69.35942857142857,62.46685714285741,-352924352.0,5.055754661560059,4.0
7,7,Paraguay,5545.405626681198,7.151832379393966,0.7602285714285699,77.92772866064284,113.63580952380971,105.27600000000031,445639424.0,15.653102040290833,4.0
8,8,Philippines,2924.6579688351485,6.3391091781817295,0.7435066666666685,66.86840087066662,94.45314285714285,94.6739047619048,4216778240.0,19.2445667386055,4.0
9,9,Lebanon,10089.881826101802,3.863237783030308,0.7321333333333332,32.80338126733159,107.92800000000014,107.92800000000014,4996719360.0,6.1162078976631165,4.0
10,10,Ukraine,4018.8541692647273,3.4578036647616277,0.7749961904761902,34.5597917538667,95.65999999999997,94.09009523809523,-1980204032.0,4.6740074157714835,4.0
11,11,Bhutan,2898.2004015539283,9.754795432727406,0.6804666666666641,94.08284024,111.52628571428568,101.07619047619056,358838112.0,23.896097093820572,4.0
12,12,Ethiopia,885.5198466800066,30.72604344000001,0.5606000000000115,90.27876379279988,72.66400000000067,96.41600000000004,11047133184.0,34.061438143253326,4.0
13,13,Djibouti,2228.7125782848448,1.3520989260606058,0.5497200000000007,-7.065561670642638,95.56857142857132,104.00095238095287,559098240.0,44.347877621650696,4.0
14,14,Mexico,11919.058760176877,0.3556485636361799,0.8068571428571465,68.33253583720034,101.19961904761885,99.2933333333334,-725813024.0,8.239320874214172,4.0
15,15,Libya,10171.360973272736,2.8045378157576124,0.7423238095238105,84.35186464635719,71.20000000000005,72.10000000000002,245613336.0,18.59932827949524,4.0
16,16,Rwanda,708.4993510787826,19.395093001817717,0.6665657142857135,50.7746203271995,82.36152380952376,87.19219047619049,1462535680.0,-2.330341339111328,3.0
17,17,Nigeria,1886.944641465456,28.76307679030282,0.5748666666666669,33.25448768899969,78.52285714285699,82.29714285714289,26457150464.0,57.06857204437256,4.0
18,18,Mali,881.2173741563529,17.44093383818131,0.4986514285714314,98.20614080692852,93.93600000000015,111.28666666666732,4013516672.0,50.05629301071167,4.0
19,19,Belarus,8390.85225679609,1.137242457142975,0.8924800000000008,33.55505733280029,99.78247619047623,99.98247619047622,879694912.0,-1.0236196517944336,4.0
20,20,Togo,619.4842503284854,24.714677027272764,0.5346857142857147,37.9523095998571,68.31752380952412,95.4628571428574,730804064.0,36.634317874908454,4.0
21,21,Nepal,768.463325041208,17.613128669090198,0.6330152380952434,98.409807936,100.55295238095232,88.9990476190477,2239672792.0,21.771009117364887,4.0
22,22,Guatemala,4164.465671519983,4.996973035151768,0.6989561904761903,54.759543467199876,99.05638095238123,101.74247619047628,949014176.0,18.38051182031632,4.0
23,23,Zambia,1501.4469909515176,9.659445314545252,0.6372133333333352,71.4339924622285,70.83676190476193,84.62609523809526,3898093696.0,25.425397872924805,4.0
24,24,Cambodia,1198.4622699018073,22.82798381212137,0.6496361904761905,94.00183149999997,94.74609523809612,124.8451428571434,1301157344.0,15.056836128234865,4.0
25,25,Myanmar,1098.4168943660409,39.29269460363604,0.6459485714285726,83.91746810807147,90.59619047619093,98.63314285714294,-1467923712.0,36.953434228897095,4.0
26,26,Sao Tome and Principe,1501.2674896618191,10.986537364848573,0.6477904761904796,62.715815323668785,109.95600000000059,107.9000000000003,39681592.0,12.87078046798706,4.0
27,27,Namibia,5811.1277202993815,8.051989795151503,0.6363809523809518,67.91812664721421,98.61580952380972,97.98819047619051,-377395172.0,21.96402883529663,4.0
28,28,El Salvador,4397.681197310274,-23.748991456969637,0.7187333333333346,78.94595291666701,102.23180952380949,99.86380952380966,1240109184.0,9.568364255130293,4.0
29,29,Sierra Leone,495.74211725090566,61.494354232727794,0.5011828571428563,-4.697351198570686,71.38457142857145,90.08457142857151,-34719784.0,74.71029216051102,4.0
30,30,Burkina Faso,786.4500970702939,20.60136645636362,0.5049400000000048,36.13280219614308,99.00304761904772,107.42171428571396,1922658688.0,58.23539698123932,4.0
31,31,Panama,13046.981498723615,1.2774705709090313,0.8334133333333344,31.49802914600013,98.48685714285715,97.67295238095241,456763760.0,11.767800509929655,4.0
32,32,Liberia,329.36785724121125,89.90970884242371,0.4911800000000026,-15.75858470732783,82.29200000000037,94.92799999999966,-286163200.0,12.22271728515625,4.0
