,country,Total area of the country (excl. coastal water) (1000 ha),Rural population (1000 inhab),Urban population (1000 inhab),Population density (inhab/km2),GDP per capita (current US$/inhab),"Agriculture, value added (% GDP) (%)",Human Development Index (HDI) [highest = 1] (-),National Rainfall Index (NRI) (mm/yr),Total renewable water resources per capita (m3/inhab/yr),Total exploitable water resources (10^9 m3/yr),Dam capacity per capita (m3/inhab),Agricultural water withdrawal (10^9 m3/year),Industrial water withdrawal (km<sup>3</sup>/year or 10<sup>9</sup>m<sup>3</sup>/year),Municipal water withdrawal (km<sup>3</sup>/year or 10<sup>9</sup>m<sup>3</sup>/year),Total water withdrawal (10^9 m3/yr),Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),Capacity of the municipal wastewater treatment facilities (10^9 m3/yr),Agricultural water withdrawal as % of total water withdrawal (%),SDG 6.4.2. Water Stress (%),SDG 6.4.1. Water Use Efficiency (US$/m3),SDG 6.4.1. Irrigated Agriculture Water Use Efficiency (US$/m3),SDG 6.4.1. Industrial Water Use Efficiency (US$/m3),% of total cultivated area drained (%),Area salinized by irrigation (1000 ha),Flood occurrence (WRI) (-),Total population with access to safe drinking-water (JMP) (%),Rural population with access to safe drinking-water (JMP) (%),Urban population with access to safe drinking-water (JMP) (%),Population affected by water related disease (1000 inhabitants),"Mortality rate, infant (per 1,000 live births)",Net official development assistance and official aid received (current US$),nutrient security,population ages0-14,Population ages 65 and above (_ of total population),Resilience and securityStorage drought duration index(Total dam capacity_km3),Unnamed: 2
0,Afghanistan,65286,26558.609,8971.472,55.59555341,605.557362,23.658185,0.493,185,1799.917253,,55.35027952,20,0.1695,0.2034,20.3729,561.2970182,,98.1696273,54.75701944,0.923777773,0.120556899,28.22928878,,,3.7,55.3,47,78.2,,46.5,4284419922,157,42.47227139,2.615794214,2.009,
1,Albania,2773,1190.155,1740.032,104.0089794,4445.132198,19.01433,0.789,1136,10470.95368,13,1397.282892,0.905,0.2318,0.283,1.4198,492.273511,,63.74137202,7.139423077,6.656907137,1.220289415,9.331023806,39.95080307,12,2.7,95.1,95.2,94.9,,8.6,28409999.85,54,17.3995641,14.20263062,4.03,
2,Algeria,238174,11547.532,29770.61,17.37771083,4051.244377,11.946213,0.758,241.5,281.8852044,7.9,208.2488256,6.671,0.191,3.6,10.462,252.7713215,0.27,63.76409864,137.9203602,14.35461959,0.618339914,329.8714798,0.719756373,,2.8,83.6,81.8,84.3,,20,175720001.2,73,30.55037861,6.552777882,8.61925,
3,Andorra,47,9.12,67.845,163.8319149,39249.68902,0.483532,0.852,,4098.64807,,,,,,,,,,,,,,,,3.3,100,100,100,,2.8,,,,,,
4,Angola,124670,10472.554,19311.639,23.9165525,4100.291004,10.016996,0.576,1137,4977.065588,,316.7751325,0.1467,0.2396,0.3195,0.7058,23.6712459,,20.78492491,1.871883289,142.4678362,0.247981848,196.7907091,,,1.7,49,28.2,75.4,,50.2,49540000.92,48,46.62202503,2.19934175,9.44521,
5,Antigua and Barbuda,44,76.802,25.21,216.8772727,14390.24603,1.793599,0.774,,544.9248632,,52.61668728,0.0018,0.0025,0.0072,0.0115,120.5122294,,15.65217391,8.461538462,109.8390235,1.869824499,88.3892972,16.16,,3.6,97.9,97.9,97.9,,5.8,27440000.53,37,21.95473548,9.054964064,0.005021,
6,Argentina,278040,3652.804,40618.237,15.80245288,14517.29125,5.478382,0.832,1062,19943.0368,,2994.365701,27.93,4,5.85,37.78,859.8647978,0.295,73.92800424,10.45666408,13.61656379,0.118292364,32.63959504,4.104477612,584,2.5,99.1,100,99,5607,8.2,18250000,23,24.59552588,11.24310827,131.563865,
7,Armenia,2974,1081.248,1849.202,99.01785474,3933.682101,14.99426,0.758,352.1,2638.217789,,470.9706054,2.127,0.1224,0.6164,2.8658,973.1760251,,74.22011306,57.79705467,3.260519012,0.300616425,19.71887005,6.822411404,20.41,3.3,100,100,100,1.644,10.5,419730011,16,20.76595201,11.48366772,1.38691,
8,Australia,774122,3446.638,21003.923,3.175806914,57917.09369,2.597156,0.937,717.1,20012.51189,190,3164.022873,10.5,2.662,3.392,16.554,673.3478085,,63.42877854,6.411338963,72.2797509,0.469945848,106.2610897,,200,2.7,100,100,100,,3.1,,18,19.27544671,15.92120175,77.7863,
9,Austria,8387.9,3660.707,5074.746,105.1502879,47887.17438,1.203252,0.912,1126,8809.622693,93,241.2385354,0.0771,2.695,0.72,3.4921,395.9341494,1.142,2.207840554,9.643547941,100.7329373,3.364716309,33.98988045,,,3.3,100,100,100,,2.8,,48,14.36185763,19.07560629,2.1277,
