Country Name,Indicator Name,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Belarus,Net official development assistance and official aid received (current US$),186009994.5,119019996.6,222720001.2,76569999.69,56529998.78,40450000.76,39720001.22,35959999.08,40549999.24,39450000.76,45979999.54,49939998.63,58009998.32,74760002.14,85430000.31,111139999.4,98220001.22,136259994.5,119800003.1,102870002.7,107139999.4,120610000.6,104580001.8,-22309999.47,-250169998.2,119099998.5,214229995.7
Belize,Net official development assistance and official aid received (current US$),31110000.61,32169998.17,18829999.92,21030000.69,13770000.46,14520000.46,47400001.53,16149999.62,22489999.77,23280000.69,12680000.31,6690000.057,11720000.27,7730000.019,21280000.69,23370000.84,26239999.77,24200000.76,20989999.77,26209999.08,51270000.46,37560001.37,28270000.46,34959999.08,34200000.76,33790000.92,37659999.85
Bermuda,Net official development assistance and official aid received (current US$),-4820000.172,-12479999.54,-2079999.924,-4070000.172,-8220000.267,550000.0119,79999.99821,59999.99866,19999.99955,19999.99955,29999.99933,90000.00358,,,,,,,,,,,,,,,
Bolivia,Net official development assistance and official aid received (current US$),546619995.1,539099975.6,678820007.3,760099975.6,628289978,549390014.6,519809997.6,426079986.6,675960022,600330017.1,762630004.9,706659973.1,542880004.9,807599975.6,438790008.5,589159973.1,611690002.4,560270019.5,545969970.7,661719970.7,702299987.8,674559997.6,791309997.6,696510009.8,949159973.1,728849975.6,716130004.9
Brazil,Net official development assistance and official aid received (current US$),197520004.3,259869995.1,264329986.6,257799987.8,229789993.3,260609985.4,144380004.9,255679992.7,252020004.3,236410003.7,229300003.1,178279998.8,217240005.5,110199996.9,328589996.3,468630004.9,374809997.6,464779998.8,840690002.4,1288540039,1155729980,914150024.4,1003190002,674630004.9,273890014.6,444829986.6,290230011
Barbados,Net official development assistance and official aid received (current US$),4980000.019,2900000.095,509999.9905,5730000.019,5840000.153,17180000.31,-589999.9738,1799999.952,319999.9928,4750000,21270000.46,30299999.24,-629999.9952,-889999.9857,18700000.76,9279999.733,11750000,15579999.92,,,,,,,,,
Brunei Darussalam,Net official development assistance and official aid received (current US$),5070000.172,5260000.229,4289999.962,3170000.076,379999.9952,330000.0131,1429999.948,629999.9952,349999.994,-1820000.052,469999.9988,769999.9809,,,,,,,,,,,,,,,
Bhutan,Net official development assistance and official aid received (current US$),61740001.68,72419998.17,69459999.08,57099998.47,59340000.15,52439998.63,65620002.75,47099998.47,54610000.61,60020000.46,72860000.61,72129997.25,78769996.64,92419998.17,95639999.39,79019996.64,101370002.7,97239997.86,118650001.5,161649993.9,136800003.1,130639999.4,97279998.78,51599998.47,118540000.9,107919998.2,181410003.7
Botswana,Net official development assistance and official aid received (current US$),129899993.9,85180000.31,89660003.66,74569999.69,121620002.7,106250000,60889999.39,30620000.84,28930000.31,37310001.37,28049999.24,46610000.61,48270000.46,66610000.61,105069999.7,723099975.6,282350006.1,154669998.2,118500000,73069999.69,107370002.7,99370002.75,65540000.92,90569999.69,102089996.3,85750000,68860000.61
Central African Republic,Net official development assistance and official aid received (current US$),171740005.5,167559997.6,167779998.8,169130004.9,91550003.05,120620002.7,118760002.1,75900001.53,76209999.08,60009998.32,51500000,110059997.6,88970001.22,133589996.3,180009994.5,260369995.1,241139999.4,260980011,268769989,228020004.3,202820007.3,611000000,486730011,506760009.8,511980011,656250000,753849975.6
