,Area,Agricultural water withdrawal,"Agriculture, value added (% GDP)_x","Agriculture, value added (% GDP)_y",GDP per capita,Industrial water withdrawal,National Rainfall Index (NRI),Population density,SDG 6.4.2. Water Stress,Total renewable water resources per capita,Total population with access to safe drinking-water (JMP),Poplulation ages 65 and above,latitude
84,Sri Lanka,,0.017086763720287522,0.18045359388091023,0.0407143334123517,0.01625897088416622,0.5500631883959874,0.2842994971778588,0.023526191727574648,0.015870625777632735,0.8924688648749466,0.22656210781640373,0.46072166379977275
85,Dominican Republic,,0.013696447243014685,0.16802744959891963,0.07557668507322307,0.015529560291660702,0.20739540492783898,0.19460651188909509,0.015635360166956918,0.014687574874890405,0.610439935600743,0.18212761908426303,0.5633309623600914
86,Zambia,,0.003067113482760505,0.2214287756618965,0.014901246827508574,0.010858259207544203,0.3540371288348293,0.017925994766255227,0.0027480165051538717,0.016923054568794695,0.43387360512372064,0.03765030297699218,0.26228726182818096
87,Comoros,,0.0017148271992764611,0.4715695061281077,0.01442313203451182,0.010098500683823997,0.7500364147560931,0.3926050086351069,0.0023523515532333046,0.012531904900453566,0.688678983822079,0.3821047649564404,0.2741789678615049
88,Turkey,,0.0743819200392898,0.16915246005051396,0.13265190480495584,0.0196447882759435,0.20283723264185302,0.09021180710206099,0.012601686990156898,0.01542257672713384,0.8949833584866692,0.21431233387693485,0.7544068457837767
89,Eritrea,,0.002531143721265233,0.34001795150339165,0.012499886454298966,0.009989407059609438,0.1012076738933022,0.026371164513955245,0.004810244345234537,0.01443269502565456,0.3211119201610489,0.5611269753706313,0.5297377665809905
90,Kazakhstan,,0.014469022493391163,0.10852242126915983,0.14763974174298244,0.05145515795397419,0.09222081867423253,0.0036265329745101328,0.008009707359909204,0.024647150545218217,0.7203923416284732,0.15720740401015607,0.8399498600559021
91,Germany,,0.001213574175719399,0.1492164195271029,0.5720520368960712,0.07262749035575584,0.2933888929188369,0.19015653754714626,0.007078965223783943,0.015166825300369662,0.8196316947132629,0.7241198517138715,0.8696682621143981
92,Colombia,,0.011916716203199033,0.17140698741909793,0.07889963637902046,0.03928926591674294,0.9806558721655934,0.037291147507913465,0.002704754238699799,0.0890238572032914,0.7200799195765157,0.056416365744075256,0.4295287241991353
93,Estonia,,0.0017001584924764119,0.15841564185873924,0.2871149762638677,0.01778320684991726,0.20033923239611948,0.020582550484414392,0.005478660684134063,0.033962825410004706,0.8177924358589951,0.1071780084859882,0.9398490700778455
94,India,,1.0,0.23874733247111324,0.017712704449323918,0.10005863618717964,0.48734546247725563,0.3710431219196721,0.019005739949383413,0.013247899198376491,0.8553158360187356,0.1765669225449543,0.5808818320160735
95,Poland,,0.002820046458576494,0.1251584518462896,0.1631417029469233,0.04470010562755751,0.20120668678718492,0.10232209417431166,0.00919454240706848,0.014446470990498464,0.8174245840881416,0.8446784843877388,0.8767877941163968
96,Haiti,,0.0033915103962839617,0.2601432277308979,0.007154671280416792,0.010499437478058976,0.3865409908237251,0.35632650097675844,0.005406051345210429,0.01304448945599565,0.23896003769220855,0.15613945094211235,0.5655555209198242
97,Venezuela (Bolivarian Republic of),,0.027894512517774712,0.18910120535402983,0.10943259321813051,0.014947057970115661,0.6157036872736574,0.029029244567300345,0.004132761180319335,0.07351213998386322,0.7502261280577656,0.10011222753651994,0.4470314187015946
98,Benin,,0.0017712886210230808,0.3345489087279688,0.008043795007736323,0.010292120855412744,0.3220808700650129,0.08506769003010449,0.002384099301594398,0.012922265390026139,0.6264666829596456,0.24372910382860982,0.4742730511025025
99,Cameroon,,0.0030763235509013768,0.2658686222684433,0.013321242443576941,0.010732465750823313,0.5704800623268897,0.044289573731209765,0.0026215250281678704,0.021648040442240397,0.6186939246508574,0.7151909292108133,0.4559664927638086
100,Fiji,,0.001792523972247211,0.20692536435143813,0.06008814137332479,0.010156958728415634,0.7568520233404064,0.04129139433995551,0.0022566121233067327,0.07342235279904517,0.8177773186629324,0.708493191945535,0.22975203020487664
101,Italy,,0.018139929994842766,0.1504903636624082,0.4637908010904778,0.056048311296189965,0.2724399028324225,0.1642783226374515,0.008063352942470037,0.0180557338525301,0.8196316947132629,1.0,0.7818780186220583
102,Nigeria,,0.009767694908631604,0.4239976951843426,0.016384956157157016,0.024355273435755536,0.43056918553780205,0.18055404595450728,0.0047524700680933755,0.012785815946282296,0.535541787709212,0.8027921645126309,0.4721410644064018
103,Afghanistan,,0.024056685799552734,0.3609261248952357,0.004826121310973734,0.0114453758624738,0.039092681880328196,0.046578785809188755,0.014871278181700701,0.01299961779395489,0.40375511150191334,0.6547941194924246,0.7069439288443536
104,Namibia,,0.002004306077985568,0.22174011155869378,0.06028639023707741,0.01018608813571445,0.10307901984086024,0.0009174667488486458,0.002386114803898345,0.032432000677351275,0.8013222507489317,0.051136729915696386,0.1694915254237288
105,Hungary,,0.0017240294423510251,0.13311292981042167,0.17793114504335839,0.034594833774215995,0.1947183097711769,0.08289126621132187,0.0041083873727471,0.03520381864884463,0.8430986220675771,0.07729107394503457,0.8318536004314983
106,Saudi Arabia,,0.028275195097004772,0.1809702084176751,0.23484809108992297,0.01709201029069373,0.028457232831686607,0.012316641942785478,0.2203588641736974,0.011069929513560017,0.8124812609757138,0.07194908341743429,0.6119803105313719
107,Iraq,,0.05530957582834887,0.1648172372733583,0.05797638427448814,0.044924805254096735,0.063618439716553,0.07344093035801179,0.017546336569788098,0.01361508263738291,0.690530840339732,0.4407234797473571,0.7001814597449361
108,Iceland,,0.0017378018668796162,0.1782984651610358,0.8114350754009397,0.01129691011331805,0.3053986495260348,0.0011054730143206825,0.002268539636385896,1.0,0.8196316947132629,0.08955722036236023,1.0
109,Bolivia (Plurinational State of),,0.004691064635939435,0.21503103191026637,0.030765081456837345,0.010198967009666984,0.4701821915609486,0.007449758962064549,0.0024730758624060553,0.08922352610342349,0.7915792178866654,0.18485493459119565,0.23247250946263923
110,Djibouti,,0.001710541870244029,0.15953904063095006,0.022527367584352743,0.01009579203290994,0.03579973462037178,0.03720851957893592,0.0038540725031090675,0.011229833754804852,0.7610147669810168,0.17335875128424516,0.49805268472573694
111,Tajikistan,,0.014737546873426034,0.3137647113821458,0.00959242044013745,0.011871374102872709,0.07897229938728337,0.05442311840768844,0.0162311692648604,0.015505212423682226,0.5786787066734859,0.2934157312158579,0.7534367304373453
112,Nepal,,0.013714564136757841,0.3320763459929064,0.006817834856205311,0.010261966374674145,0.5996654801789347,0.177339137881856,0.003953749266225343,0.022150434052169925,0.8269458980748221,0.6960955621979167,0.6545728139107173
113,Thailand,,0.06842335802797272,0.17976364334572378,0.0723605733896844,0.028954184491937453,0.6052798068051582,0.1210457034211938,0.007116840909349644,0.022648741731760923,0.8438166888805441,0.11422636955674431,0.5362612491345002
114,Chad,,0.002899452594218042,0.3938983438582975,0.008686436985081432,0.010911181087069791,0.2172267838750993,0.008479461115041114,0.0034462480986628486,0.013015969747037375,0.22880884053625541,0.06921196545627238,0.5323335572061056
115,Egypt,,0.08674440175158767,0.20854302576671874,0.02835141414494346,0.02835292262353166,0.029118537782311826,0.08406059062711946,0.0313453373133522,0.011893575846912316,0.8398559835121766,0.6796168077578659,0.6397018052458019
116,Portugal,,0.01400216986601022,0.10211272136607343,0.28794572589021383,0.014857156637005424,0.3192011374794838,0.09451241383588034,0.005794396890470601,0.026979071065923968,0.8402087180869677,0.2628380155084067,0.758527238326263
117,Morocco,,0.01305056866965529,0.25107507442909816,0.03459946544956092,0.011328718335637925,0.0838983430480134,0.06986180974000052,0.01492426330862882,0.012423879431667116,0.6878550966366769,0.06071597959545011,0.6866593553786614
118,Panama,,0.002246534328227201,0.15942210261481624,0.14155716668843984,0.010097012009281627,0.8447939712870824,0.047299070837800265,0.0023811838635195764,0.061369976458879566,0.7996165271265466,0.1957268151410768,0.4670023813639614
119,Romania,,0.0,0.17408650719056817,0.11030657470684856,0.025795196935874756,0.21846730983124427,0.06616811914036076,0.0026599702123921106,0.03500332320720397,0.9539505012610193,0.01634000152047369,0.8203359602961166
120,Uganda,,0.002064560042714346,0.30176412425194726,0.005292150870187439,0.010417355845514984,0.4810439572398563,0.14712741352537934,0.0035972278535643136,0.011951968886093385,0.7279786545191619,0.04773425550649276,0.3993238475511436
121,Yemen,,0.0061866066162591885,0.2822265909714463,0.01348005184522223,0.010516891802346919,0.06922042283052744,0.04664123099302153,0.04153491589494456,0.01106627262737712,0.1521570979014793,0.1513372784146413,0.5332639988966945
122,Cambodia,,0.004353396130931169,0.3463501105643905,0.01173146941098617,0.01034488119936885,0.8381990285575296,0.07977053109931549,0.002396002267547993,0.04958261989889258,0.7501354248814027,0.6366936192115261,0.5050484727059417
