Country Name,Indicator Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Azerbaijan,Net official development assistance and official aid received (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300000.0119,7429999.828,23870000.84,149039993.3,119540000.9,96360000.61,184059997.6,120360000.6,171000000,140610000.6,230910003.7,350809997.6,302029998.8,175830001.8,210399993.9,203850006.1,213309997.6,225100006.1,217580001.8,156479995.7,287769989,286790008.5,-70830001.83,216740005.5,69580001.83,79430000.31,123529998.8,87410003.66,120980003.4,
Burundi,Net official development assistance and official aid received (current US$),7530000.21,7190000.057,11069999.69,6159999.847,8090000.153,4860000.134,8930000.305,10409999.85,12970000.27,14930000.31,17670000.08,21680000.31,25760000.23,26860000.61,37349998.47,47470001.22,43799999.24,47639999.39,73910003.66,94339996.34,115949996.9,120650001.5,125400001.5,137610000.6,137669998.2,137160003.7,191309997.6,196619995.1,200500000,206240005.5,262549987.8,256399993.9,309279998.8,216949996.9,311109985.4,286950012.2,110519996.6,56400001.53,68750000,75099998.47,93309997.56,139250000,171910003.7,227600006.1,358820007.3,365579986.6,432019989,504549987.8,520429992.7,575750000,627609985.4,572239990.2,524169982.9,558830017.1,515400024.4,366559997.6,742640014.6,435820007.3,451079986.6,588940002.4,
Belgium,Net official development assistance and official aid received (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benin,Net official development assistance and official aid received (current US$),19999.99955,1480000.019,3750000,4260000.229,18069999.69,17879999.16,14920000.08,16270000.46,13140000.34,13140000.34,14739999.77,28979999.54,20040000.92,26479999.54,33069999.69,54110000.61,50750000,48819999.69,60340000.15,84610000.61,88230003.36,81239997.86,79699996.95,84930000.31,75029998.78,93910003.66,134669998.2,133699996.9,157970001.2,267869995.1,266880004.9,265660003.7,269040008.5,287760009.8,256380004.9,280559997.6,288290008.5,221149993.9,205229995.7,212440002.4,244770004.3,280420013.4,221539993.3,301989990.2,391790008.5,349079986.6,400309997.6,475290008.5,636719970.7,677559997.6,689270019.5,672609985.4,507880004.9,660200012.2,599320007.3,436630004.9,500760009.8,680000000,574619995.1,602210022,
Burkina Faso,Net official development assistance and official aid received (current US$),200000.003,1350000.024,4429999.828,4139999.866,15399999.62,17270000.46,16860000.61,19620000.84,22809999.47,24000000,21989999.77,28790000.92,34319999.69,56900001.53,96319999.69,88500000,79870002.75,109069999.7,156880004.9,196160003.7,209960006.7,214830001.8,210190002.4,181139999.4,182979995.7,188490005.5,268910003.7,268179992.7,286779998.8,265279998.8,326529998.8,419649993.9,433380004.9,468989990.2,433100006.1,490450012.2,419239990.2,369109985.4,400119995.1,398760009.8,179779998.8,390940002.4,440269989,540840026.9,647380004.9,698190002.4,900549987.8,942719970.7,1000380005,1083699951,1044619995,981979980.5,1152319946,1045079956,1123359985,998390014.6,1029479980,892150024.4,1108790039,1148810059,
Bangladesh,Net official development assistance and official aid received (current US$),,,,,,,,,,,,15359999.66,223759994.5,421470001.2,531390014.6,1055180054,491809997.6,772419982.9,958719970.7,1122180054,1229310059,1054290039,1304069946,993260009.8,1109040039,982750000,1287989990,1619000000,1392609985,1482660034,1788900024,1612219971,1498650024,1165369995,1384750000,1033109985,964880004.9,863150024.4,979549987.8,1005429993,976340026.9,918450012.2,807400024.4,1301790039,1421300049,1251619995,1027819946,1308520020,1765829956,1082760010,1327329956,1437520020,2154050049,2633590088,2422639893,2592909912,2532820068,3781770020,3044679932,4482600098,
Bulgaria,Net official development assistance and official aid received (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13619999.89,315679992.7,147509994.5,114650001.5,157339996.3,113069999.7,180020004.3,219470001.2,238800003.1,266559997.6,307140014.6,345950012.2,326809997.6,419410003.7,618369995.1,,,,,,,,,,,,,,,,
Bahrain,Net official development assistance and official aid received (current US$),39999.99911,939999.9976,1350000.024,639999.9857,579999.9833,879999.9952,9710000.038,50000.00075,200000.003,140000.0006,949999.9881,4699999.809,2839999.914,14239999.77,37689998.63,25860000.61,163160003.7,47959999.08,83959999.08,135289993.3,206529998.8,197160003.7,156000000,255330001.8,211220001.2,74059997.56,99510002.14,8840000.153,-2609999.895,-1759999.99,137500000,94699996.95,80110000.61,111430000.3,95790000.92,99870002.75,132320007.3,150279998.8,199720001.2,61880001.07,60430000.31,70809997.56,61580001.83,131770004.3,58220001.22,,,,,,,,,,,,,,,,
"Bahamas, The",Net official development assistance and official aid received (current US$),-39999.99911,,,19999.99955,59999.99866,70000.0003,50000.00075,689999.9976,50000.00075,70000.0003,79999.99821,250000,1220000.029,479999.9893,519999.9809,660000.0262,589999.9738,469999.9988,779999.9714,889999.9857,1419999.957,1389999.986,1320000.052,889999.9857,10039999.96,699999.9881,1639999.986,639999.9857,1419999.957,3920000.076,3150000.095,2759999.99,2829999.924,1159999.967,1000000,4389999.866,1450000.048,3460000.038,22600000.38,11470000.27,5469999.79,7440000.057,4710000.038,3880000.114,4480000.019,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,Net official development assistance and official aid received (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9999.999776,9999.999776,9999.999776,15689999.58,70239997.86,408570007.3,965799987.8,851809997.6,862049987.8,914969970.7,1286239990,737929992.7,640080017.1,555780029.3,541919982.9,686090026.9,539890014.6,536840026.9,599099975.6,465010009.8,417339996.3,511179992.7,625780029.3,568020019.5,521210022,630200012.2,356390014.6,446119995.1,440540008.5,355950012.2,464510009.8,
