,Area,Population density,GDP per capita,"Agriculture, value added (% GDP)",Total renewable water resources per capita,Total population with access to safe drinking-water (JMP),SDG 6.4.2. Water Stress,Agricultural water withdrawal,Industrial water withdrawal,National Rainfall Index (NRI),latitude,Poplulation ages 65 and above
0,Equatorial Guinea,47.095022701680136,18778.04078252893,-3.9489694977778527,-4954.829363467172,48.09600000000002,0.2261699378857127,0.0011876571428571445,0.0037985714285714567,2460.6982326444486,1.6508,20.217187963426113
1,Saudi Arabia,17.100087251475543,22631.549523422145,3.5901670444445246,8.294528877819175,99.4594285714287,1015.7407651819085,20.623301588247728,1.2914580873961938,102.07733333333317,23.8859,3.2377383559942245
2,Yemen,58.83822523888921,1448.113852609531,14.42797991047604,6.654990056575116,49.53904761904755,183.24382773200045,3.4761066666666736,0.07773238095238177,220.97774813999968,15.5527,5.645955645013601
3,Costa Rica,110.18919008013472,11890.645047448925,2.4770982399999184,13789.682332399534,99.70400000000006,7.7849829338001655,3.308400000000006,0.48639999999999617,2807.429333395552,9.7489,20.41057474166155
4,Comoros,479.5245113511173,1538.3602973555608,34.693992088889104,663.7607596088783,90.10000000000002,0.8333333329999998,0.004699999999999999,0.0004999999999999999,2206.8209524933336,-11.875,12.646218730136752
5,New Zealand,18.557729330577843,48237.86748496024,4.63163112444434,61280.946131644305,100.00000000000004,8.26991771094282,4.17816729598573,1.5559897107428498,1098.4287406844433,-40.9006,2.729792857542634
6,Switzerland,209.19756412177867,95851.45198133355,-0.008956960000020331,6018.241717395518,100.00000000000004,6.9483933786222,0.22524250000000556,0.6426999999999998,1633.3329629688924,46.8182,1.6484868489205837
7,Cuba,109.98862562902252,8118.418639444513,1.0203684888888347,3142.389163879994,97.25600000000003,25.99578979360024,5.166990302880038,0.9677075555866743,1025.0293826222187,21.5218,16.11298632621765
8,Uzbekistan,78.13786708382918,2348.1888953066664,30.801736129524215,1275.2138733371248,85.97066666666669,160.31375310000044,49.93142856840004,2.165337143080002,156.3383129371423,41.3775,28.639225766062737
9,Kyrgyzstan,32.76910797352389,1519.1587639200006,4.038238546666435,3425.4711501047423,95.5281904761905,40.873393065999835,5.652386666719906,0.3577533332799998,365.3169142857141,41.2044,10.002870650496334
10,Mozambique,37.678754274089215,447.75867315110645,20.59104948444451,4593.068406710983,57.54800000000023,2.102482663230475,1.2473720715028662,0.034712666666666725,1009.3928570968887,-18.6657,3.0144160442287102
11,Russian Federation,8.335476534986665,17065.555144643993,1.5423496590476589,31737.19083912384,98.17942857142859,3.03947908906855,16.940685197600146,24.751027017599654,493.0600761904766,61.523999999999994,17.97412322461605
12,Colombia,47.46867689195585,7708.329036840005,2.5665831777777157,34958.38165862113,92.47390476190482,2.473908654280038,7.924345000000017,5.38893250000018,2879.505037062223,4.5709,2.7665579840540886
13,Tajikistan,68.30087285400032,1076.0936185123646,17.803611535238247,1996.8219674285792,81.7840000000001,65.4447757687999,10.114133332799987,0.3277613332799998,249.4225820152351,38.861,9.955863263458014
14,Italy,201.88300157422248,44539.8303490805,0.32780623999988734,3140.330047217776,100.00000000000004,27.420326921244396,12.75537619137765,8.482547349457832,813.7400042271091,41.8719,31.38988695293665
15,Nepal,217.76473895208983,810.5843994266761,19.763567679999596,4976.159658230958,100.55295238095232,8.288479606959994,9.319999999999999,0.030674743079999747,1768.2103703333346,28.3949,22.171036198735237
16,Honduras,93.97547140151164,2501.282402551107,8.124499848888718,4425.641443848726,97.51295238095236,4.621268763999999,1.1779999999999997,0.13358233773523898,1507.225432080002,15.2,8.50202383287251
17,Liberia,43.96495194337808,290.05806001777546,91.25369391555569,30833.816009598784,82.29200000000037,0.27788760140000024,-0.018528461507142602,0.07054010992142823,2491.4892592533342,6.4281,15.443719491362572
18,Mali,15.578204717271149,900.5035959066809,20.24534907999896,3813.197312293225,93.93600000000015,10.796885539878588,6.8526976189856725,-0.0006691729428571769,564.0170910066656,17.5707,2.928606079891324
19,Azerbaijan,121.22291652636204,7748.171322047594,-5.291170942857207,3171.4187091028434,93.6318095238098,47.23898684361882,8.040039999999948,2.6123085714285494,416.8426190476175,40.1431,3.997894451022148
20,United Republic of Tanzania,61.93021348737784,859.3459198088858,28.64296425777789,687.243546959915,56.148952380952394,15.969226681200041,5.7993999999999915,0.02532291666666668,1163.485666604448,-6.369,22.159896656870842
21,Sierra Leone,108.94204317648973,492.72611866666557,62.18416744000024,15110.223853822099,71.38457142857146,0.40183334265714343,-0.05345500000000136,0.07452098902857163,2568.7584127733344,8.4606,3.4667487372644246
22,Central African Republic,8.490298329591099,423.80347668888976,38.96522178666677,17994.241496710805,72.72933333333356,0.4510648145357088,0.0004000000000000001,0.015756043907142914,1318.9343915155553,6.6111,2.4197218623012304
23,Kenya,95.40068881164507,1373.7473627733489,24.743644942222033,175.8383499066549,70.72914285714273,36.88955772577128,3.190974182567601,0.2784771149199994,910.7608938213345,-0.0236,4.637977739796042
24,Australia,3.354414732848916,71474.30081137456,1.6740706533332883,16762.034738399903,100.00000000000004,4.749418576759979,6.6797999999998865,2.965730000000022,706.311585185776,-25.2744,19.14612839370966
25,Indonesia,149.3444933808005,3981.672368857806,8.415061151110876,5704.248289973242,93.76152380952385,35.68370968499062,229.29172625181127,19.708512553428818,2935.9291006266676,-0.7893,3.355087229050696
26,Hungary,102.91767422444434,17184.979777986882,-1.5321592399999417,10828.551481355556,101.77409523809527,9.008381786346732,0.011843627844434934,4.522369718106702,587.0371957697774,47.1625,3.3997860501985997
27,Israel,412.39948829689274,44657.27180348942,-0.28217929333345637,129.580164131552,100.00000000000004,100.11211765955522,1.0736039641733335,0.11276452089333378,376.0168148173336,31.0461,4.970109514892101
28,Denmark,137.94089299955579,72835.86905268952,0.12598712888882346,1032.1328171466666,100.00000000000004,11.130866085866728,0.09045748150666455,0.04632055552444658,712.2487888888895,56.2639,8.050222794990987
29,India,453.30561032711194,1853.1502998844371,9.774247915555293,984.7716930977622,102.69771428571448,78.36151102622262,774.9655111111151,16.606577777777716,1440.5888888888858,20.5937,6.411289397627115
