,country,Total area of the country (excl. coastal water) (1000 ha),Rural population (1000 inhab),Urban population (1000 inhab),Population density (inhab/km2),GDP per capita (current US$/inhab),"Agriculture, value added (% GDP) (%)",Urban population with access to safe drinking-water (JMP) (%),Total renewable water resources per capita (m3/inhab/yr),Total population with access to safe drinking-water (JMP) (%),Municipal water withdrawal (km<sup>3</sup>/year or 10<sup>9</sup>m<sup>3</sup>/year),Rural population with access to safe drinking-water (JMP) (%),Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),Total water withdrawal (10^9 m3/yr),Agricultural water withdrawal as % of total water withdrawal (%),Agricultural water withdrawal (10^9 m3/year),Industrial water withdrawal (km<sup>3</sup>/year or 10<sup>9</sup>m<sup>3</sup>/year),SDG 6.4.2. Water Stress (%),Human Development Index (HDI) [highest = 1] (-),SDG 6.4.1. Irrigated Agriculture Water Use Efficiency (US$/m3),SDG 6.4.1. Industrial Water Use Efficiency (US$/m3),Flood occurrence (WRI) (-),SDG 6.4.1. Water Use Efficiency (US$/m3),Dam capacity per capita (m3/inhab),Resilience and securityStorage drought duration index(Total dam capacity_km3),nutrient security,National Rainfall Index (NRI) (mm/yr),"Mortality rate, infant (per 1,000 live births)",longitude,latitude,population ages0-14,Population ages 65 and above(-of total population),Net official development assistance and official aid received (current US$),% of total cultivated area drained (%),Total exploitable water resources (10^9 m3/yr)
48,Nigeria,0.054012782,0.108366487,0.112069533,0.025782637,0.016987812,0.25200619,0.610547667,0.002949394,0.538799414,0.06295341,0.531798246,0.011752208,0.016385278,0.443971882,0.008008721,0.009370529,0.002503789,0.275862069,0.003845651,0.001120844,0.632653061,0.025079014,0.007571823,0.060209616,0.083682008,0.359140927,0.914357683,0.514282016,0.472141064,0.835922963,0.05909869,0.381191335,0.338637267,0.024489712
49,Ethiopia,0.064571333,0.094060961,0.025257775,0.011888792,0.005732549,0.408607364,0.860040568,0.002255417,0.374816984,0.010181565,0.436403509,0.018721669,0.013853195,0.92312281,0.014079942,0.000243681,0.008370334,0.162068966,0.001450051,0.00714694,0.653061224,0.003374294,0.008440559,0.037413888,0.142259414,0.296438981,0.439546599,0.604787508,0.472736169,0.746585998,0.087915703,0.500003717,0.338637267,0.0218107
50,Benin,0.006696694,0.006690209,0.00617767,0.012018352,0.006622789,0.278309643,0.69979716,0.004645072,0.676427526,0.001806082,0.694078947,0.002587551,0.00029974,0.25344316,8.58E-05,0.000143062,0.000246151,0.244827586,0.005731159,0.001352864,0.734693878,0.022167846,6.00E-05,2.79E-05,0.225941423,0.264381906,0.722921914,0.496190533,0.474273051,0.796413895,0.078535899,0.113252506,0.00015555,0.013787243
51,Costa Rica,0.002973449,0.001182853,0.004549905,0.011953984,0.106975907,0.060387766,0.99188641,0.044904052,0.967789165,0.008191601,0.911184211,0.131401002,0.004189389,0.724460695,0.00334593,0.001144492,0.001408416,0.722413793,0.007102246,0.000821082,0.632653061,0.01325832,0.011506089,0.002372735,0.125523013,0.802573604,0.074307305,0.251341179,0.478440674,0.233190545,0.324966416,0.063393865,0.132865406,0.01377284
52,Guinea,0.014364262,0.009182599,0.005377489,0.005933337,0.00616995,0.21555888,0.851926978,0.036838226,0.660322108,0.00281114,0.64254386,0.008079581,0.000746392,0.513012052,0.000425727,0.000268002,0.000222214,0.155172414,0.001213561,0.001276784,0.224489796,0.011494021,0.004342239,0.002182992,0.410041841,0.456018257,0.783375315,0.4620177,0.480298724,0.829590335,0.066504857,0.111273599,0.005003421,0.083950617
53,Trinidad and Tobago,0.000284829,0.000720498,0.000843611,0.033742055,0.148440329,0.014647666,0.900608519,0.005457389,0.928257687,0.002972352,0.94627193,0.055392126,0.000495799,0.043806181,2.43E-05,0.000614688,0.00527183,0.734482759,0.052007526,0.001358272,0.448979592,0.04781665,0.001472963,8.49E-05,0.10460251,0.512788937,0.177581864,0.315437003,0.48734741,0.21139794,0.371073686,0.089963018,0.01550972,0.000868724
54,Guinea-Bissau,0.002097907,0.00119425,0.000927674,0.006124369,0.005676327,0.594692008,0.975659229,0.03378526,0.696925329,0.000409328,0.564692982,0.019710825,0.00024192,0.761821653,0.000209302,5.67E-05,0.000381325,0.15,0.0019317,0.000209421,0.204081633,0.002206284,0,0,0.221757322,0.338805161,0.638539043,0.446417406,0.497850538,0.795031487,0.063575311,0.068977628,0.22928995,0.000144033
55,Djibouti,0.001341678,0.000240556,0.000860963,0.004876375,0.025383334,0.016986746,0.947261663,0.000625046,0.853587116,0.000181364,0.612938596,0.002419556,1.72E-05,0.158712844,4.36E-06,0,0.001637692,0.205172414,0.229531638,0.200394863,0.591836735,0.019367421,0.00690338,0.001817818,0.046025105,0.023713763,0.589420655,0.610763287,0.498052685,0.44983143,0.128606813,0.082945769,0.22928995,0.00370823
56,Burkina Faso,0.016022936,0.015380561,0.006521657,0.008567777,0.005793463,0.257930943,0.949290061,0.001383547,0.740849195,0.004710422,0.734649123,0.007060695,0.001067157,0.516967962,0.000611483,0.000103481,0.002020633,0.096551724,0.000994292,0.003134611,0.673469388,0.008963658,0.007932648,0.006342882,0.041841004,0.207752446,0.658690176,0.485160119,0.501955817,0.862323223,0.046590233,0.16349259,0.292487873,0.001954733
57,Cambodia,0.010573173,0.013863142,0.004341295,0.010890876,0.011683591,0.282461585,1,0.058496669,0.641288433,0.00121413,0.661184211,0.026414218,0.002862177,0.944888876,0.002984012,0.000157368,0.000262071,0.353448276,0.005962545,0.00406436,0.795918367,0.005571263,1.78E-06,1.19E-06,0.117154812,0.656551506,0.267002519,0.788280577,0.505048473,0.500329501,0.132656116,0.148350706,0.292487873,0.016938272
58,Sudan,0.109901807,0.029916263,0.016499815,0.002485348,0.026916606,0.30553261,0.310344828,0.001821786,0.348462665,0.011944825,0.453947368,0.134433244,0.03538674,0.966929597,0.037659884,0.000357654,0.030808931,0.231034483,0.003676834,0.004294823,0.673469388,0.002012456,0.014837812,0.025228587,0.079497908,0.170035249,0.496221662,0.575565474,0.507854912,0.741767765,0.092036575,0.207230687,0.29545348,0.01909465
59,Nicaragua,0.007609666,0.002915826,0.004278144,0.00591972,0.019335096,0.182130464,0.985801217,0.050684659,0.80966325,0.003581936,0.664473684,0.048180973,0.00202196,0.771163988,0.001722384,0.000350978,0.000692118,0.482758621,0.003768741,0.000841798,0.734693878,0.005534933,0.142986901,0.038033563,0.142259414,0.561933705,0.159949622,0.247205414,0.507879471,0.467156458,0.160229571,0.093677622,0.292487873,0.013787243
60,Philippines,0.017530716,0.062909073,0.058059277,0.043919788,0.026274593,0.116666678,0.872210953,0.008958593,0.879941435,0.112438034,0.893640351,0.180220458,0.121870984,0.736635178,0.098793605,0.075584168,0.007356966,0.579310345,0.002976205,7.73E-05,0.816326531,0.002602822,0.001927005,0.008443199,0.09623431,0.739024335,0.251889169,0.836024795,0.508014551,0.483712497,0.154902937,0.14111801,0.126309336,0.060082305
61,Saint Vincent and the Grenadines,7.60E-06,5.96E-05,4.73E-05,0.035230125,0.064665091,0.083623836,0.900608519,0.001791015,0.928257687,8.69E-05,0.94627193,0.014239501,3.42E-06,0,0,9.54E-09,0.002044568,0.60862069,0.05614022,1,0.734693878,0.024347853,0.000980117,1.37E-05,0.146443515,0.327168584,0.252644836,0.315252945,0.509002614,0.454429884,0.125874114,0.07179111,0.052072976,0.000802469
62,Barbados,9.94E-06,0.000221198,8.54E-05,0.08361798,0.157610758,0.015421404,0.993914807,0.000549769,0.995607613,0.000231743,0.996710526,0.056654929,9.87E-05,0.680048615,7.97E-05,2.96E-05,0.022717355,0.75862069,0.016005577,0.001741128,0.734693878,0.042510045,0.000653938,1.84E-05,0.405857741,0.216372551,0.12720403,0.32021427,0.510982518,0.125802298,0.561525804,0.089963018,0.088376015,0.000623045
63,Gambia,0.00064569,0.000930767,0.001489252,0.024433891,0.005594888,0.253902458,0.882352941,0.007107918,0.856515373,0.000498751,0.828947368,0.007735982,0.000125757,0.387825874,5.70E-05,0.000101097,0.000566738,0.148275862,0.001053533,0.000199261,0.306122449,0.008324343,0.015075954,0.00141955,0.230125523,0.16239239,0.492695214,0.446048436,0.513337433,0.565091217,0.163777722,0.075425013,0.093483392,0.000675144
