,country,Total area of the country (excl. coastal water) (1000 ha),Rural population (1000 inhab),Urban population (1000 inhab),Population density (inhab/km2),GDP per capita (current US$/inhab),"Agriculture, value added (% GDP) (%)",Urban population with access to safe drinking-water (JMP) (%),Total renewable water resources per capita (m3/inhab/yr),Total population with access to safe drinking-water (JMP) (%),Municipal water withdrawal (km<sup>3</sup>/year or 10<sup>9</sup>m<sup>3</sup>/year),Rural population with access to safe drinking-water (JMP) (%),Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),Total water withdrawal (10^9 m3/yr),Agricultural water withdrawal as % of total water withdrawal (%),Agricultural water withdrawal (10^9 m3/year),Industrial water withdrawal (km<sup>3</sup>/year or 10<sup>9</sup>m<sup>3</sup>/year),SDG 6.4.2. Water Stress (%),Human Development Index (HDI) [highest = 1] (-),SDG 6.4.1. Irrigated Agriculture Water Use Efficiency (US$/m3),SDG 6.4.1. Industrial Water Use Efficiency (US$/m3),Flood occurrence (WRI) (-),SDG 6.4.1. Water Use Efficiency (US$/m3),Dam capacity per capita (m3/inhab),Resilience and securityStorage drought duration index(Total dam capacity_km3),nutrient security,National Rainfall Index (NRI) (mm/yr),"Mortality rate, infant (per 1,000 live births)",longitude,latitude,population ages0-14,Population ages 65 and above(-of total population),Net official development assistance and official aid received (current US$),% of total cultivated area drained (%),Total exploitable water resources (10^9 m3/yr)
88,Mexico,0.114874321,0.029244304,0.122307595,0.007752324,0.080668525,0.040625046,0.943204868,0.007281306,0.942898975,0.179202604,0.913377193,0.143522174,0.115425468,0.764379058,0.097093023,0.032494039,0.008550191,0.675862069,0.004325141,0.001073662,0.591836735,0.010433254,0.034812524,0.180963718,0.514644351,0.290507716,0.133501259,0.197860713,0.609605559,0.369324688,0.233190337,0.107147587,0.183923405,0.034567901
89,Bangladesh,0.008639437,0.118781988,0.069998748,0.135712502,0.012648669,0.162054695,0.726166329,0.015114677,0.808199122,0.045320813,0.85745614,0.044614125,0.047127961,0.882721283,0.045784884,0.003671912,0.001479271,0.406896552,0.01308498,0.00161431,1,0.004519096,0.001156994,0.007696918,0.10041841,0.645536299,0.302267003,0.746647834,0.610082587,0.396763476,0.14988739,0.469913887,0.164239783,0.055851852
90,Saudi Arabia,0.125712438,0.006066676,0.032641605,0.001689249,0.1892949,0.030306471,0.939148073,0.000142619,0.956076135,0.039653192,0.967105263,0.143812437,0.030675796,0.826530273,0.027906977,0.004768717,0.229401943,0.832758621,0.015261137,0.006287543,0.244897959,0.022994379,0.000865244,0.00119317,0.154811715,0.029701516,0.05163728,0.617843701,0.611980311,0.334157726,0.08404899,0.098142061,0.002821773,0.00217177
91,Qatar,0.000656802,2.74E-05,0.003080575,0.029627335,0.574585408,0.001950722,1,4.19E-05,1,0.005990045,1,0.067372605,0.001191468,0.32129235,0.000423983,0.000685265,0.112294359,0.818965517,0.018751698,0.014106008,0,0.156807887,0.0047698,0.001529425,0.162343096,0.003547461,0.050377834,0.63521033,0.625855699,0.033707665,0.013656429,0.097139648,0.292017258,0.01562963
92,Bahrain,3.04E-05,0.000181518,0.001558339,0.241088899,0.21507933,0.003224814,1,0.000152719,1,0.003450951,1,0.058256234,0.000563079,0.334829054,0.00021032,6.72E-05,0.034717674,0.803448276,0.010906286,0.020511149,0,0.06226376,0,0,0.229288703,0.217358271,0.054156171,0.633656787,0.631292879,0.170276715,0.050744456,0.089963018,0.265476219,0.001375967
93,Libya,0.102893966,0.001446852,0.006013321,0.000220397,0.034932197,0.009644352,0.434077079,0.000209234,0.578330893,0.008796147,0.652412281,0.181055936,0.007653279,0.836214328,0.007049419,0.001335241,0.212211722,0.570689655,0.000287268,0.001083403,0,0.002944729,0.001690017,0.000463324,0.150627615,0.03309081,0.104534005,0.53861356,0.63511572,0.419527977,0.122988562,0.086946776,0.004124096,0.000261317
94,Egypt,0.058556006,0.062856898,0.049380796,0.011882793,0.017276659,0.138716663,1,0.001172755,0.991215227,0.135373005,0.989035088,0.164068295,0.101832721,0.795714524,0.089171512,0.025751073,0.030363142,0.556896552,0.011349655,0.000388968,0.510204082,0.003424891,0.04974751,0.199875953,0.037656904,0.02348781,0.39093199,0.577229396,0.639701805,0.545020849,0.154704763,0.252649336,0.760806698,0.020452675
95,Bhutan,0.002230321,0.000543419,0.000364476,0.002195824,0.02755801,0.209908432,1,0.205787273,1,0.000193959,1,0.091804966,0.000436403,0.945703161,0.000462209,1.43E-05,0.00036005,0.417241379,0.009464291,0.004551257,0.959183673,0.004638135,0,0,0.220920502,0.730268658,0.279596977,0.746867737,0.646253626,0.346799807,0.183882772,0.074575179,0.290912582,0.034222222
96,Algeria,0.139284208,0.012986184,0.035282412,0.001938667,0.035938312,0.144295578,0.681541582,0.000554473,0.75988287,0.045320813,0.800438596,0.050420595,0.013740054,0.640944826,0.009696221,0.000910825,0.035811946,0.663793103,0.010852678,0.007101096,0.571428571,0.011595586,0.005940256,0.010242652,0.280334728,0.061589127,0.231738035,0.494323778,0.651162769,0.485698533,0.20101054,0.074052189,0.006761229,0.003251029
97,Nepal,0.008592823,0.026583586,0.006699172,0.023404284,0.007020635,0.327520249,0.815415822,0.014962975,0.877013177,0.001838828,0.910087719,0.069179682,0.012472107,0.986436929,0.013546512,0.000140677,0.002151525,0.346551724,0.010638276,0.001964141,0.918367347,0.001580184,8.81E-05,0.000101366,0.058577406,0.487934112,0.302267003,0.728918209,0.654572814,0.459572551,0.172320061,0.182971874,0.292487873,0.019506173
98,Kuwait,0.001027021,0,0.004884985,0.028427354,0.262013079,0.005877222,0.979716024,9.70E-06,0.985358712,0.005626058,0.989035088,0.061852422,0.001634835,0.625946529,0.001131395,0.000111111,1,0.751724138,0.013093612,0.054900291,0.12244898,0.083742022,0.00335773,0.000850636,0.154811715,0.012401993,0.065491184,0.624678609,0.663233006,0.246285554,0.059871842,0.089963018,0.000121997,0.001332593
99,Pakistan,0.046545822,0.140820847,0.085116637,0.032653316,0.013073956,0.276645087,0.876267748,0.002334995,0.874084919,0.121518822,0.889254386,0.180323122,0.241058505,0.944634856,0.250581395,0.006676204,0.031856976,0.318965517,0.005270708,0.000696934,0.795918367,0.001013685,0.003815298,0.033045799,0.138075314,0.093815668,0.681360202,0.686875247,0.673279887,0.605771029,0.117928825,0.257422049,0.444401265,0.061366255
100,Jordan,0.005208799,0.001009639,0.01042044,0.013553026,0.03725365,0.066788204,0.955375254,0.000188343,0.954612006,0.005734372,0.915570175,0.020281206,0.001364268,0.53402365,0.00080625,0.000154983,0.025983845,0.601724138,0.037714456,0.006311817,0.612244898,0.028491359,0.000801366,0.0003267,0.213389121,0.035406828,0.14861461,0.592693425,0.675262625,0.565992056,0.101948813,0.315001442,0.037256062,0.013787243
101,Israel,0.001275589,0.000717219,0.009091422,0.046812041,0.385333208,0.013752939,1,0.000424716,1,0.012360451,1,0.05593153,0.003019866,0.544909506,0.001815407,0.000343348,0.026835305,0.915517241,0.025893348,0.017168114,0.591836735,0.102746034,0.004579981,0.002749137,0.163179916,0.103983551,0.017632242,0.588748261,0.679616337,0.414657227,0.411693767,0.097366123,0.194488072,0.000673251
102,Morocco,0.026101899,0.015309966,0.026216922,0.00978844,0.027008354,0.149291181,0.973630832,0.00160319,0.786237189,0.013368028,0.619517544,0.058753835,0.013699318,0.882316213,0.01330814,0.001010968,0.013173387,0.520689655,0.007482426,0.002618597,0.591836735,0.006747111,0.014396972,0.021340901,0.058577406,0.074694399,0.210327456,0.46942555,0.686659355,0.390236047,0.228861647,0.127558885,0.068306528,0.008230453
103,Iraq,0.025429422,0.012793209,0.03187682,0.010624736,0.044397728,0.035084475,0.874239351,0.004706874,0.803806735,0.015471345,0.672149123,0.210072497,0.05064967,0.91965619,0.051264535,0.00977587,0.014049953,0.536206897,0.00152457,0.000875589,0.489795918,0.003720725,0.115306098,0.180390935,0.150627615,0.056928847,0.25440806,0.613861271,0.70018146,0.684856518,0.083514321,0.261206133,0.409829331,0.019860082
104,Lebanon,0.000595976,0.000791489,0.006357803,0.081969442,0.078951551,0.035100645,0.979716024,0.00129887,0.985358712,0.003002579,0.989035088,0.053938087,0.002410137,0.382405947,0.001017442,0.004291845,0.015261905,0.618965517,0.024763185,0.000105428,0.571428571,0.020839457,0.000953703,0.000270943,0.874476987,0.150840545,0.057934509,0.591623497,0.706146677,0.35298538,0.227849815,0.198114672,0.036409976,0.000855967
105,Tunisia,0.009553755,0.004066722,0.009366679,0.008553943,0.03048903,0.117012649,1,0.000793968,0.966325037,0.001705324,0.925438596,0.086240775,0.006398341,0.777958815,0.005484012,0.004601812,0.031435108,0.629310345,0.003339201,0.000172276,0.530612245,0.006254692,0.006714602,0.003198288,0.238493724,0.085483652,0.162468514,0.5167348,0.706450842,0.317098985,0.277026658,0.148347032,0.037063358,0.00149177
106,Afghanistan,0.038168229,0.029867419,0.010618362,0.006753895,0.004585862,0.286053285,0.557809331,0.003540469,0.345534407,0.002541613,0.418859649,0.114077541,0.026763677,0.986782782,0.029069767,0.000808298,0.014213729,0.206896552,0.002115932,0.000564235,0.755102041,0.000594481,0.001578856,0.002387387,0.631799163,0.0456312,0.565491184,0.68222372,0.706943929,0.803525276,0.054357146,0.451698394,0.281355175,0.019860082
107,Cyprus,0.000525793,0.000439929,0.000914657,0.015817569,0.239954869,0.024158006,1,0.001300587,1,0.001365267,1,0.052661285,0.000400923,0.594705363,0.000267442,8.11E-05,0.007660588,0.85862069,0.013309998,0.00259267,0,0.049323785,0.008069064,0.000396558,0.205020921,0.090624082,0.002518892,0.584703814,0.718159294,0.116649129,0.480218892,0.089963018,0.058039737,0.000222222
108,China,0.561454931,0.672295616,1,0.01881399,0.079543967,0.092094642,0.949290061,0.003845977,0.934114202,1,0.923245614,0.083219448,0.785937894,0.64737645,0.559883721,0.636623748,0.011217907,0.655172414,0.035983798,0.000795096,0.714285714,0.017029072,0.016307513,0.986873886,0.10460251,0.289660393,0.065491184,0.786017257,0.725105017,0.145905306,0.384259695,0.003673797,0.060060519,0.186806584
109,Malta,3.51E-06,2.64E-05,0.000462833,0.172177424,0.268992643,0.00929935,1,0.000226826,1,0.000450891,1,0.02832575,7.61E-05,0.400181916,3.69E-05,4.77E-06,0.022106655,0.879310345,0.026295138,0.027212519,0,0.134778028,0,0,0.288702929,0.217358271,0.056675063,0.53049764,0.725821032,0.053245965,0.732361976,0.089963018,0,6.17E-06
110,Japan,0.022090901,0.012135595,0.138357116,0.042251517,0.345948705,0.014097058,1,0.006633722,1,0.194064364,1,0.130070478,0.1070233,0.671725239,0.079113372,0.055364807,0.009691279,0.931034483,0.013023226,0.002181533,0.612244898,0.044723667,0.007041218,0.037401375,0.205020921,0.439071785,0.002518892,0.882903911,0.728345977,0.006438912,1,0.145260562,0.189086806,0.036460905
111,Tajikistan,0.008253602,0.007325776,0.002834241,0.007663044,0.006376273,0.256519959,0.860040568,0.004853159,0.616398243,0.008128627,0.634868421,0.265340129,0.015097226,0.912942658,0.015174419,0.001944683,0.017845553,0.479310345,0.002898587,8.15E-05,0.755102041,0.000399312,0.094774642,0.035062151,0.138075314,0.089014167,0.352644836,0.692368549,0.75343673,0.659534449,0.071870957,0.091593017,0.373715656,0.013787243
112,Turkey,0.045917093,0.023024266,0.071450951,0.012762744,0.095161946,0.073318612,1,0.005131153,1,0.075749637,1,0.148246932,0.077475108,0.853221057,0.072747093,0.013819742,0.011569118,0.744827586,0.005299345,0.00188034,0.530612245,0.010980065,0.055499928,0.187551994,0.242677824,0.166939693,0.088161209,0.589862568,0.754406846,0.31882451,0.281974052,0.133721704,0.018258083,0.046090535
113,Turkmenistan,0.028532009,0.003163041,0.003472575,0.001235414,0.058990297,0.105753439,0.778904665,0.008460578,0.420204978,0.009488856,0.282894737,1,0.036725778,0.947863644,0.038313953,0.004000954,0.037276613,0.577586207,0.002378134,0.000547261,0.367346939,0.001014685,0.027716433,0.006648202,0.079497908,0.013540231,0.437027708,0.659028104,0.754463522,0.491241275,0.127987033,0.060232031,0.475324959,0.018436214
114,Greece,0.00770266,0.002670139,0.010397763,0.009840793,0.16507062,0.044521116,1,0.012729518,1,0.025055921,1,0.21768914,0.014762795,0.808505517,0.013140988,0.000993324,0.00589844,0.85862069,0.007728803,0.002426856,0.489795918,0.012276688,0.033254577,0.0146428,0.142259414,0.162222925,0.021410579,0.551688244,0.755450641,0.041724011,0.774242268,0.082959739,0.375766999,0.011934156
115,Portugal,0.005378738,0.004106204,0.007898954,0.013804874,0.194065304,0.02507038,1,0.014797761,1,0.011492675,1,0.222432984,0.01468106,0.788365185,0.012742733,0.00713877,0.004765411,0.818965517,0.003248456,0.00044473,0.489795918,0.012985532,0.032251501,0.013823673,0.117154812,0.253423187,0.018891688,0.466205525,0.758527238,0.024541871,0.789709315,0.098512472,0.273509932,0.005349794
116,Armenia,0.001724179,0.001215956,0.002172626,0.012224856,0.034868608,0.181188097,1,0.005189421,1,0.007743229,1,0.199058987,0.003758111,0.746046732,0.00309157,0.000583691,0.015003252,0.663793103,0.005276213,0.000379806,0.673469388,0.002508489,0.013434342,0.001648129,0.041841004,0.092827123,0.11209068,0.617727065,0.764848574,0.224854682,0.384687129,0.096480075,0.06408819,0.00370823
117,Azerbaijan,0.005049716,0.004935425,0.006429396,0.014073121,0.036912942,0.067572376,0.892494929,0.006927793,0.80966325,0.005642431,0.756578947,0.266128461,0.016788172,0.729019144,0.013473837,0.014601812,0.014651687,0.653448276,0.00392521,0.00012849,0.612244898,0.002840183,0.062414696,0.025599827,1,0.123217796,0.20906801,0.624949149,0.765547586,0.296193533,0.197047539,0.069020828,0.244543851,0.013787243
118,Spain,0.029575127,0.010384328,0.04399795,0.011365895,0.256720948,0.033614207,1,0.004701705,1,0.061567991,1,0.136338728,0.041012276,0.655609054,0.029593023,0.028450167,0.01104827,0.893103448,0.008744349,0.000736564,0.551020408,0.029307,0.03290751,0.063950369,0.054393305,0.144768059,0.012594458,0.478936843,0.768576009,0.059859476,0.688803472,0.127494728,0.184405236,0.019053498
119,Albania,0.001606622,0.001338431,0.00204317,0.012853709,0.039522314,0.229845651,0.896551724,0.020596551,0.928257687,0.003544152,0.947368421,0.099836181,0.001857964,0.640716382,0.001315407,0.001105389,0.00184704,0.717241379,0.021417682,0.000154692,0.551020408,0.005290446,0.039857215,0.004789035,0.20083682,0.314232777,0.088161209,0.546977262,0.775090045,0.135109863,0.485969017,0.060512368,0.375288811,0.005349794
120,Kyrgyzstan,0.011679151,0.004341686,0.002570131,0.003649504,0.010670246,0.151174886,0.93306288,0.007505497,0.853587116,0.002801064,0.848684211,0.253602806,0.010058028,0.931695505,0.010319767,0.001602289,0.012988408,0.513793103,0.001899108,6.80E-05,0.428571429,0.000522743,0.108620119,0.028009317,0.464435146,0.098588924,0.256171285,0.702296889,0.775572741,0.48292335,0.215215627,0.118300042,0.101872647,0.014483539
121,Uzbekistan,0.026151612,0.017745599,0.019108228,0.008749509,0.015944815,0.363703881,0.969574037,0.003007785,0.814055637,0.030333105,0.790570175,0.378514335,0.077391007,0.927702174,0.079011628,0.010157368,0.043861022,0.575862069,0.007941129,0.000164564,0.551020408,0.000933567,0.019646097,0.026157755,0.041841004,0.046704476,0.176322418,0.673334585,0.777207863,0.438976748,0.128090976,0.164194801,0.636811969,0.019860082
122,Italy,0.017609087,0.01993056,0.049354194,0.025117654,0.299793322,0.023476401,1,0.006201871,1,0.119478478,1,0.114526529,0.044917694,0.499826925,0.024709302,0.036719123,0.007783826,0.875862069,0.016099294,0.000960804,0.530612245,0.039969492,0.004723723,0.011940026,0.10041841,0.227862259,0.013853904,0.525354248,0.781878019,0.02226445,0.814124801,0.12359887,0.347760889,0.050617284
123,Georgia,0.004061296,0.001837594,0.002681154,0.006995591,0.036854615,0.075231135,1,0.031075094,1,0.004513625,1,0.092095969,0.002387798,0.584923509,0.001541888,0.001918008,0.001535049,0.706896552,0.006878812,0.000104734,0.734693878,0.005858422,0.024292271,0.004056895,0.087866109,0.315362542,0.086901763,0.612944108,0.786067368,0.205272875,0.517945513,0.103557438,0.347831511,0.013787243
124,Montenegro,0.000792491,0.000237115,0.000475611,0.005474688,0.069335534,0.082659671,1,0.012542665,0.995607613,0.001193979,0.99122807,0.051166935,0.000203681,0.010620313,2.47E-06,0.000299475,0.003961129,0.75862069,0.804755749,0.00011594,0.714285714,0.016915005,0.046725977,0.00122162,0.092050209,0.242396683,0.005037783,0.544718778,0.789782522,0.155121568,0.530167913,0.06681122,0.262010664,0.00370823
125,Bulgaria,0.006476785,0.002018196,0.006252745,0.007811041,0.074790025,0.048553692,0.99188641,0.005899022,0.991215227,0.011088385,0.989035088,0.162646855,0.007427916,0.148241377,0.001212936,0.018798283,0.010854207,0.75862069,0.001614789,1.16E-05,0.653061224,0.006333291,0.026179165,0.007746115,0.10041841,0.14682988,0.050377834,0.562104467,0.790020564,0.062752172,0.748595405,0.141290807,0.081092109,0.002894979
126,Bosnia and Herzegovina,0.002979882,0.002055749,0.00197081,0.007995082,0.045986459,0.067505673,0.993914807,0.022008835,0.998535871,0.004524021,1,0.064420986,0.002977868,0.186146202,0.00043407,0.000342394,0.000684221,0.679310345,0.00412509,0.000945576,0.734693878,0.032157219,0.024787411,0.003460939,0.146443515,0.281187157,0.044080605,0.539895994,0.801185864,0.06297559,0.597664481,0.100595975,0.22928995,0.013787243
127,Serbia,0.005152652,0.004355495,0.005811191,0.012339514,0.056143459,0.07257477,0.987829615,0.036134055,0.988286969,0.008286061,0.987938596,0.123921239,0.007058399,0.123523671,0.000960465,0.019346686,0.001566694,0.725862069,0.002146237,1.02E-06,0.714285714,0.004679696,0.007333088,0.002697427,0.422594142,0.171080281,0.037783375,0.549360063,0.802136143,0.085560714,0.655005646,0.110356301,0.292487873,0.013787243
128,Croatia,0.003331386,0.002041542,0.002794919,0.00895952,0.119226455,0.035236448,0.99188641,0.04961211,0.994143485,0.005710443,0.996710526,0.033535779,0.000931807,0.106844451,0.000110465,0.000877444,0.000381395,0.796551724,0.011359776,0.001035005,0.612244898,0.048138463,0.006560315,0.001143189,0.255230126,0.226167612,0.031486146,0.532843459,0.812371002,0.059468897,0.733962336,0.073764131,0.377969401,0.004703704
129,Romania,0.013927953,0.010194368,0.012566465,0.010136285,0.096956834,0.051909383,1,0.021218483,1,0.013179107,1,0.069369804,0.008892447,0.221279402,0.002167151,0.020190749,0.001639726,0.75862069,0.004731277,0.000215572,0.755102041,0.020707413,0.016055421,0.01314596,0.092050209,0.176232008,0.05163728,0.560628017,0.82033596,0.08644088,0.656851854,0.123508429,0.325080365,0.050617284
130,Slovenia,0.001170102,0.001069597,0.001318444,0.012657916,0.211513264,0.022126141,0.993914807,0.030191212,0.992679356,0.002114652,0.993421053,0.090818199,0.001216172,0.004208941,5.67E-06,0.003614688,0.001628385,0.906896552,0.07225295,0.000293875,0.714285714,0.034687216,0.000460212,3.98E-05,0.138075314,0.261501005,0.001259446,0.532261699,0.822300751,0.07395596,0.70886125,0.062871611,0.282770269,0.003650617
131,France,0.032098919,0.014483546,0.061761703,0.014628025,0.349994662,0.018484743,1,0.006400751,1,0.065157484,1,0.082391884,0.034733646,0.118357271,0.004524709,0.086552217,0.006003246,0.89137931,0.02872349,0.000406307,0.510204082,0.068334054,0.004390863,0.011861239,0.138075314,0.224416476,0.027707809,0.495900079,0.823022434,0.145842644,0.716500752,0.142548737,0.177486244,0.041152263
132,Switzerland,0.00239972,0.002501119,0.007393518,0.02555137,0.729006747,0.007729541,1,0.01244535,1,0.011705526,1,0.040572906,0.002270583,0.092818972,0.000232703,0.003064855,0.001710324,0.982758621,0.072963763,0.005474175,0.653061224,0.319688189,0.011278959,0.003973235,0.221757322,0.402919312,0.025188917,0.513008116,0.828601305,0.069558156,0.658637266,0.09804555,0.292017258,0.020576132
133,Mongolia,0.09146433,0.001094263,0.002473123,0,0.032901315,0.124924024,0.318458418,0.021983596,0.478770132,0.000550389,0.552631579,0.028906869,0.000599873,0.545415225,0.00036468,0.000792561,0.000874584,0.613793103,0.009166222,0.000546892,0.265306122,0.018067214,0.002290202,0.000297087,0.347280335,0.043512891,0.14861461,0.785025276,0.829019768,0.492307388,0.112971784,0.086810743,0.297818425,0.016378601
134,Hungary,0.005425784,0.003163697,0.008171866,0.012926664,0.131524863,0.045673832,1,0.021025032,1,0.007845246,1,0.093715535,0.00590701,0.115813256,0.000753779,0.016013352,0.002010882,0.806896552,0.00582153,0.000152531,0.714285714,0.019397922,0.000751685,0.000304692,0.184100418,0.159313781,0.017632242,0.545085472,0.8318536,0.056029839,0.690540622,0.095700094,0.293737147,0.005783457
135,Austria,0.004890575,0.004116777,0.005997544,0.012997507,0.434803265,0.014266449,1,0.017328683,1,0.009048041,1,0.079958842,0.004581113,0.022192801,0.000112064,0.012851693,0.002497382,0.929310345,0.05905519,0.000689072,0.673469388,0.082347436,0.006881281,0.002528444,0.175732218,0.311408365,0.01511335,0.530994626,0.835194689,0.054127391,0.667488292,0.097139648,0.292017258,0.038271605
136,Kazakhstan,0.159354521,0.008734396,0.012357079,0.000585161,0.082449372,0.054374741,0.987829615,0.011794478,0.896046852,0.029539638,0.842105263,0.277298077,0.032122588,0.621583656,0.021976744,0.033304721,0.008079492,0.75862069,0.00070207,0.000135482,0.346938776,0.00568249,0.126132021,0.095004585,0.054393305,0.070909687,0.09697733,0.679986857,0.83994986,0.441201092,0.241969586,0.062902126,0.010912265,0.01909465
137,Ukraine,0.035284264,0.015294818,0.036292647,0.009036219,0.022159463,0.122994931,0.90872211,0.00774998,0.944363104,0.030169374,0.975877193,0.040842478,0.012055415,0.351046993,0.004659884,0.017057701,0.002898524,0.644827586,0.001040618,6.92E-05,0.489795918,0.006185389,0.035520751,0.065832828,0.192468619,0.505445466,0.070528967,0.578262341,0.84334857,0.096191713,0.579182397,0.163441113,0.092261027,0.028090535
138,Slovakia,0.002852382,0.002833356,0.003452118,0.01374885,0.158548256,0.028699214,1,0.018089096,1,0.003676397,1,0.019335777,0.000723264,0.057098203,4.59E-05,0.001102527,0.000614541,0.829310345,0.03890592,0.002197846,0.775510204,0.119553276,0.009040873,0.002051917,0.050209205,0.208797478,0.047103275,0.545642199,0.846084163,0.095373888,0.652152727,0.089160243,0.235280771,0.003865267
139,Luxembourg,0.000136273,6.08E-05,0.000607521,0.028543483,1,0.002663071,1,0.011631096,1,0.000528978,1,0.014162352,5.22E-05,0.00881738,5.81E-07,7.63E-06,0.000974854,0.922413793,0,0.083924609,0.632653061,1,0.002987849,7.37E-05,0.10460251,0.24802856,0.007556675,0.507040018,0.856912237,0.089993915,0.488662886,0.08926815,0.292017258,0.000823045
140,Belgium,0.001770384,0.000262137,0.013256537,0.04687733,0.400515813,0.007413418,1,0.003152121,1,0.009287341,1,0.070428813,0.005240645,0.011325278,6.54E-05,0.015307582,0.012735812,0.937931034,0.013950721,0.00050437,0.571428571,0.086720226,0.00036044,0.000171478,0.041841004,0.295591658,0.013853904,0.502318509,0.863416827,0.12600949,0.664916531,0.098512472,0.292017258,0.000411523
141,Germany,0.020879062,0.020998367,0.075210793,0.028900985,0.40528204,0.009766115,1,0.00366473,1,0.055245446,1,0.059266946,0.032105111,0.012327381,0.00043561,0.094182165,0.008693601,0.974137931,0.05882655,0.000915751,0.591836735,0.105146391,0.00138037,0.004753384,0.125523013,0.229359197,0.020151134,0.519334943,0.869668262,0.039135144,0.760143897,0.124262671,0.184295906,0.041563786
142,Poland,0.018273493,0.017125554,0.027185359,0.015041412,0.124552144,0.0330193,0.985801217,0.003135562,0.97510981,0.025521925,0.966008772,0.053070942,0.013239393,0.101505268,0.001479651,0.033547926,0.009054348,0.853448276,0.002658467,0.0003449,0.551020408,0.035525872,0.002221591,0.003512632,0.150627615,0.163098493,0.027707809,0.544066466,0.876787794,0.076081916,0.631776197,0.15107466,0.229869109,0.013580247
143,Netherlands,0.0021716,0.001709503,0.018378785,0.057106539,0.444452849,0.022162186,1,0.010516125,1,0.015849186,1,0.193140404,0.021117904,0.004783154,0.000111192,0.070290892,0.00393184,0.963793103,1,0.000146665,0.510204082,0.036049341,0.015474569,0.010973188,0.112970711,0.24562781,0.023929471,0.504655225,0.878801704,0.094692883,0.687220219,0.098512472,0.292017258,0.000781893
144,Ireland,0.004095218,0.001984145,0.003534091,0.008270601,0.640493901,0.013896464,0.957403651,0.021518812,0.969253294,0.007927112,0.975877193,0.035640785,0.001123662,0.208974984,0.000260174,0.000243205,0.00093897,0.975862069,0.001659708,0.047764718,0.448979592,0.286329475,0.005214937,0.001032673,0.171548117,0.332873896,0.01511335,0.466150336,0.890895557,0.235103045,0.486721476,0.09804555,0.292017258,0.017695473
145,Belarus,0.012126572,0.002328322,0.008752453,0.005484603,0.051666818,0.091276955,0.997971602,0.012051591,0.995607613,0.006566883,0.990131579,0.028767843,0.001828004,0.310116794,0.000626453,0.002112542,0.001188695,0.762068966,0.001157417,0.000714037,0.530612245,0.026071242,0.009357113,0.003683873,0.163179916,0.167278623,0.010075567,0.569124286,0.893700107,0.125426112,0.523152558,0.077591789,0.466761684,0.016790123
146,Lithuania,0.003803137,0.001055871,0.002293814,0.005240487,0.149402118,0.042163384,0.993914807,0.016936703,0.950219619,0.001622199,0.894736842,0.017047808,0.000332591,0.228591434,8.56E-05,0.00033238,0.000477836,0.85,0.000588721,0.003151828,0.489795918,0.120668167,0.004964297,0.000588469,0.158995816,0.158720654,0.017632242,0.557539991,0.907487647,0.074750689,0.707823038,0.070302658,0.235280771,0.005669383
147,United Kingdom,0.014232667,0.012546057,0.065230092,0.034260387,0.365645066,0.007615743,1,0.004333322,1,0.078407122,1,0.024302501,0.011056722,0.141226786,0.001719477,0.004816404,0.003720894,0.94137931,0.011619565,0.010031806,0.693877551,0.261731597,0.002253472,0.006264366,0.107112971,0.298980952,0.026448363,0.479827833,0.90945905,0.143004589,0.646370762,0.12359887,0.259296109,0.002880658
148,Canada,0.577815872,0.007681201,0.035310085,0.000217611,0.409054004,0.021150562,1,0.155403203,0.997071742,0.061542802,0.989035088,0.198217585,0.046769219,0.074519582,0.003835756,0.133857892,0.000948524,0.944827586,0.006948698,0.000233569,0.387755102,0.033985546,0.653482514,1,0.456066946,0.189280792,0.032745592,0.187067555,0.916565357,0.093690594,0.614305844,0.077651533,0.02270405,0.366875309
149,Denmark,0.002378642,0.000789426,0.005946356,0.017394755,0.521854841,0.016985875,1,0.002058887,1,0.004784731,1,0.024942233,0.000966105,0.443115296,0.000474855,0.000156891,0.005197574,0.95862069,0.038649491,0.039114623,0,0.301765961,9.95E-05,2.38E-05,0.129707113,0.189393768,0.020151134,0.51663324,0.917826413,0.108487958,0.700628031,0.098512472,0.292017258,0.000823045
150,Latvia,0.003761261,0.000699982,0.001553666,0.003556315,0.140358937,0.041700141,0.995943205,0.035225105,0.989751098,0.001168789,0.981359649,0.017418353,0.000230225,0.341350927,8.94E-05,0.000120172,0.000270027,0.820689655,0.000240557,0.003918157,0.367346939,0.108299944,0.014692977,0.001194288,0.757322176,0.164369478,0.018891688,0.559593649,0.923642382,0.106003265,0.714457234,0.081581768,0.37429909,0.000740741
151,Estonia,0.002636567,0.000460728,0.001046978,0.003415597,0.185687132,0.028399104,1,0.019091874,0.994143485,0.000727974,0.989035088,0.277389941,0.002337732,0.002534213,6.54E-06,0.008206962,0.005007155,0.872413793,0.001948116,1.68E-05,0.224489796,0.009520992,0.003945593,0.000216873,0.535564854,0.168888537,0.003778338,0.560761154,0.93984907,0.110149101,0.701616973,0.089963018,1,0.003738519
