,country,Total area of the country (excl. coastal water) (1000 ha),Rural population (1000 inhab),Urban population (1000 inhab),Population density (inhab/km2),GDP per capita (current US$/inhab),"Agriculture, value added (% GDP) (%)",Human Development Index (HDI) [highest = 1] (-),Total renewable water resources per capita (m3/inhab/yr),Dam capacity per capita (m3/inhab),Agricultural water withdrawal (10^9 m3/year),Industrial water withdrawal (km<sup>3</sup>/year or 10<sup>9</sup>m<sup>3</sup>/year),Municipal water withdrawal (km<sup>3</sup>/year or 10<sup>9</sup>m<sup>3</sup>/year),Total water withdrawal (10^9 m3/yr),Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),Agricultural water withdrawal as % of total water withdrawal (%),SDG 6.4.2. Water Stress (%),SDG 6.4.1. Water Use Efficiency (US$/m3),SDG 6.4.1. Irrigated Agriculture Water Use Efficiency (US$/m3),SDG 6.4.1. Industrial Water Use Efficiency (US$/m3),Total population with access to safe drinking-water (JMP) (%),Rural population with access to safe drinking-water (JMP) (%),Urban population with access to safe drinking-water (JMP) (%),"Mortality rate, infant (per 1,000 live births)",Resilience and securityStorage drought duration index(Total dam capacity_km3)
176,Thailand,0.030008387,0.042862295,0.041819245,0.01739215,0.037797517,0.205605082,0.65397351,0.01238578,0.031608108,0.075276163,0.011922549,0.037550893,0.075297472,0.157624305,0.908427424,0.007430735,0.017606427,0.007268987,0.007640686,0.957540264,0.964912281,0.941314554,0.082853855,0.094153729
177,Timor-Leste,0.000867927,0.000958772,0.000437859,0.009921669,0.037132585,0.079433744,0.435430464,0.013889442,0.037267984,0.001556686,8.59E-06,0.001336106,0.001533519,0.19343126,0.918557357,0.00912926,0.008950592,0.000586466,0.277793209,0.578330893,0.566885965,0.887323944,0.46260069,0.050288757
178,Togo,0.003319644,0.004881724,0.003578741,0.01566827,0.002934119,0.510850851,0.241721854,0.004157088,0.006861513,0.000110465,2.70E-05,0.001908135,0.000286467,0.004345572,0.342573015,0.001087526,0.028641752,0.000117258,0.01298844,0.43045388,0.376096491,0.762910798,0.550057537,0.002040948
180,Tonga,4.21E-05,9.31E-05,2.51E-05,0.018029665,0.028428559,0.298921467,0.599337748,0,0.037267984,0.022984565,0.01702681,0.035075165,0.029122166,0.08520412,0.532124372,0.021077952,0.101144359,0.017080962,0.037014052,0.991215227,0.994517544,0.981220657,0.147295742,0.050288757
181,Trinidad and Tobago,0.000298277,0.000719791,0.000968564,0.034724019,0.125651549,0.010860359,0.738410596,0.00546981,0.001438215,2.43E-05,0.000553409,0.003237382,0.000496981,0.051928116,0.043806181,0.006561974,0.180014847,0.026589774,0.014432427,0.928257687,0.94627193,0.884976526,0.17721519,8.49E-05
182,Tunisia,0.009567078,0.004133005,0.009919266,0.008601841,0.026457804,0.162233513,0.63410596,0.000815017,0.006678863,0.004116521,0.00128084,0.005961265,0.004680276,0.060210919,0.798179749,0.028518885,0.029235765,0.003411855,0.006244462,0.954612006,0.899122807,1,0.149597238,0.003181202
183,Turkey,0.045929927,0.024202635,0.072803102,0.01243735,0.076382311,0.13836654,0.706953642,0.005429809,0.057023872,0.063633721,0.007693629,0.067688728,0.066364431,0.125870722,0.871284537,0.01211928,0.033400512,0.005259187,0.016131896,0.992679356,0.979166667,1,0.101265823,0.186926838
184,Turkmenistan,0.028545077,0.003100536,0.003506075,0.001198636,0.043165982,0.151785957,0.57615894,0.009005455,0.028740059,0.038313953,0.003602095,0.010334932,0.036726917,1,0.947863644,0.046399105,0.002368149,0.001441952,0.003275612,0.420204978,0.282894737,0.744131455,0.399309551,0.006648202
185,Tuvalu,0,5.36E-06,0,0.047504172,0.022053596,0.455801684,0.583461607,0,0.037267984,0.022984565,0.01702681,0.035075165,0.029122166,0.08520412,0.532124372,0.021077952,0.101144359,0.017080962,0.037014052,0.966325037,0.967105263,0.960093897,0.235903337,0.050288757
186,Uganda,0.014125447,0.033458191,0.010051449,0.018841665,0.003649218,0.469953327,0.263245033,0.003331362,0.062647034,0.000376453,0.000214666,0.004477465,0.000830492,0.001610123,0.408700108,0.001875117,0.066056531,0.000643418,0.01256941,0.64568082,0.698464912,0.861502347,0.413118527,0.095068578
187,Ukraine,0.035297241,0.016394671,0.042308318,0.00980396,0.02473661,0.139495043,0.668874172,0.00738698,0.033043545,0.006094477,0.025875837,0.040129825,0.017269496,0.052738696,0.320584574,0.00538356,0.018388462,0.000623698,0.000345702,0.94875549,0.964912281,0.915492958,0.071346375,0.065953207
188,United Arab Emirates,0.004887643,0.001571935,0.010224922,0.01434396,0.27631366,0.010858638,0.817880795,3.14E-05,0.000180789,0.004813953,0.000296239,0.008441886,0.005247078,0.080700706,0.832706509,0.581339746,0.226809119,0.009802809,0.419307057,0.994143485,1,0.990610329,0.056386651,7.26E-05
189,United Kingdom,0.014245927,0.013514087,0.071324598,0.035087263,0.276396007,0.011237781,0.925496689,0.004364073,0.002210894,0.001524709,0.004817105,0.079924937,0.010787193,0.022164252,0.128370493,0.004409914,0.861209142,0.010837543,0.066859328,1,1,1,0.024165708,0.006264366
190,United Republic of Tanzania,0.055401673,0.040076939,0.019630408,0.006384126,0.004631962,0.474097157,0.26986755,0.003919297,0.059929218,0.006732558,0.000107333,0.007207291,0.006805564,0.01893097,0.898148148,0.004181694,0.014756946,0.001925826,0.064941534,0.346998536,0.402412281,0.504694836,0.242256861,0.123824117
191,United States of America,0.575000205,0.068511678,0.344813986,0.004019581,0.339556202,0.019282126,0.956953642,0.018720238,0.063412243,0.255145349,1,0.831409194,0.616383813,0.280132084,0.376168874,0.008780307,0.104227161,0.003635876,0.00187185,0.98682284,0.978070175,0.985915493,0.242256861,0.874465117
192,Uruguay,0.010304581,0.000206931,0.004357506,0.002316626,0.098582044,0.144980526,0.745033113,0.09762319,0.137383938,0.004607558,0.000343466,0.005602318,0.004802922,0.202633688,0.870607888,0.003154633,0.032320619,0.003708777,0.022417627,0.989751098,0.895833333,0.995305164,0.063291139,0.020384496
193,Uzbekistan,0.026164712,0.016745706,0.020450707,0.008538558,0.013481034,0.550270626,0.567880795,0.003178854,0.02022762,0.069886951,0.008243174,0.037389328,0.069283562,0.336180466,0.916591355,0.046502687,0.002608003,0.006175932,0.000874043,0.814055637,0.790570175,0.964788732,0.196777906,0.026157755
194,Vanuatu,0.000711185,0.000215924,7.45E-05,0.002489053,0.020012209,0.44778177,0.407284768,0.076777863,0.037267984,0.022984565,0.01702681,0.035075165,0.029122166,0.08520412,0.532124372,0.021077952,0.101144359,0.017080962,0.037014052,0.866764275,0.872807018,0.960093897,0.250863061,0.050288757
195,Venezuela (Bolivarian Republic of),0.053340055,0.004111651,0.035729047,0.004052865,0.083194639,0.089320032,0.710264901,0.086447467,0.145285575,0.024287791,0.00340589,0.070253942,0.029725951,0.143625714,0.742347636,0.002428667,0.04430424,0.007274198,0.035880692,0.896046852,0.753289474,0.88028169,0.242256861,0.187313883
196,Viet Nam,0.019355231,0.071489026,0.038954485,0.03594864,0.010558268,0.343928408,0.546357616,0.018859509,0.01337024,0.113008721,0.013197664,0.016521625,0.107786516,0.170591485,0.952734972,0.00585203,0.004616871,0.006050314,0.00239779,0.909224012,0.911184211,0.953051643,0.242256861,0.052723457
197,Yemen,0.030876898,0.019339718,0.011129519,0.005941666,0.007693872,0.263919596,0.26986755,0.000164374,0.000511429,0.004702035,0.000279066,0.003613248,0.004678086,0.025632682,0.912135107,0.054869266,0.030779716,0.017270314,0.037118934,0.339677892,0.413377193,0.342723005,0.242256861,0.00054961
198,Zambia,0.044015108,0.010153713,0.008039387,0.002322659,0.010345458,0.170891803,0.354304636,0.01387852,0.189206289,0.001674419,0.000558132,0.003956191,0.002059146,0.018648037,0.736621445,0.000907746,0.029583412,0.000986433,0.007090571,0.458272328,0.429824561,0.669014085,0.507479862,0.120181479
199,Zimbabwe,0.022852086,0.011442463,0.006544424,0.004235733,0.006876084,0.143595981,0.294701987,0.002921202,0.206198875,0.004034339,0.000564572,0.007576812,0.004541505,0.047954348,0.806112712,0.010493382,0.012353316,0.000676271,0.005144464,0.67057101,0.646929825,0.936619718,0.456846951,0.11875136
