,country,Total area of the country (excl. coastal water) (1000 ha),Rural population (1000 inhab),Urban population (1000 inhab),Population density (inhab/km2),GDP per capita (current US$/inhab),"Agriculture, value added (% GDP) (%)",Human Development Index (HDI) [highest = 1] (-),Total renewable water resources per capita (m3/inhab/yr),Dam capacity per capita (m3/inhab),Agricultural water withdrawal (10^9 m3/year),Industrial water withdrawal (km<sup>3</sup>/year or 10<sup>9</sup>m<sup>3</sup>/year),Municipal water withdrawal (km<sup>3</sup>/year or 10<sup>9</sup>m<sup>3</sup>/year),Total water withdrawal (10^9 m3/yr),Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),Agricultural water withdrawal as % of total water withdrawal (%),SDG 6.4.2. Water Stress (%),SDG 6.4.1. Water Use Efficiency (US$/m3),SDG 6.4.1. Irrigated Agriculture Water Use Efficiency (US$/m3),SDG 6.4.1. Industrial Water Use Efficiency (US$/m3),Total population with access to safe drinking-water (JMP) (%),Rural population with access to safe drinking-water (JMP) (%),Urban population with access to safe drinking-water (JMP) (%),"Mortality rate, infant (per 1,000 live births)",Resilience and securityStorage drought duration index(Total dam capacity_km3)
32,Central African Republic,0.036433617,0.003151918,0.002391204,0.000708953,0.002495754,0.704616932,0.052980132,0.060882388,0.037267984,5.81E-07,5.15E-05,0.000802487,8.87E-05,0.001215456,0.005545828,9.96E-05,0.053647272,0.003310534,0.007218582,0.534407028,0.5,0.755868545,0.986191024,0.050288757
33,Chad,0.075093782,0.011455522,0.003808134,0.001087173,0.006473146,0.436478513,0.091059603,0.006847449,0.037267984,0.000977035,0.000445217,0.001400579,0.001149285,0.011119725,0.768170648,0.001379527,0.02796446,0.000511702,0.007376257,0.27818448,0.394736842,0.338028169,0.836593786,0.050288757
34,Chile,0.044219223,0.00256798,0.020466424,0.002828604,0.100819337,0.058641767,0.794701987,0.101619453,0.020554209,0.042761628,0.020367508,0.017358406,0.046552211,0.38257169,0.834648619,0.002894736,0.016332824,0.003072702,0.002106053,0.980966325,0.904605263,0.990610329,0.056386651,0.015704992
35,China,0.561460199,0.774750389,1,0.019420838,0.041294032,0.161947842,0.630794702,0.00384459,0.012899221,0.563953488,0.61136871,1,0.792771306,0.078618111,0.646461732,0.014128467,0.042634875,0.030251031,0.004617301,0.900439239,0.873903509,0.941314554,0.078250863,0.801584588
36,Colombia,0.066774202,0.011563693,0.050046235,0.005141662,0.051259124,0.099566428,0.658940397,0.098117104,0.006626597,0.009289244,0.012819852,0.045411148,0.016667652,0.050124895,0.506274253,0.00060487,0.051430225,0.008282874,0.004182068,0.871156662,0.710526316,0.927230047,0.130034522,0.013407313
37,Comoros,0.000107087,0.00060253,0.000267911,0.051639193,0.008456333,0.540224726,0.316225166,0.003175593,0.037267984,6.83E-06,2.15E-06,4.39E-05,6.57E-06,0.000738279,0.472435233,0.000260515,0.165383303,0.001122338,0.02934764,0.855051245,0.879385965,0.833333333,0.585730725,0.050288757
38,Congo,0.020000328,0.001922591,0.004025254,0.001518085,0.024359083,0.067495964,0.385761589,0.353372257,5.40E-05,5.81E-06,0.00010304,0.000851871,0.00011393,0.001968712,0.043846515,0,0.352968962,0.001904205,0.054335972,0.638360176,0.328947368,0.899061033,0.242256861,1.07E-05
40,Costa Rica,0.002986861,0.001404219,0.004660675,0.011995492,0.064959537,0.096363294,0.721854305,0.046173805,0.011526106,0.002431686,0.000369225,0.007934331,0.003067037,0.092329329,0.718968958,0.001281431,0.053980966,0.006186177,0.018549991,0.963396779,0.908991228,0.988262911,0.066743383,0.002372735
41,Cote d'Ivoire,0.018857519,0.012855372,0.013989245,0.008671646,0.007450445,0.397190728,0.213576159,0.007480261,0.046776579,0.000869816,0.001111493,0.005330707,0.001633446,0.009065705,0.481981252,0.001757544,0.041982014,0.002291426,0.003685626,0.724743777,0.655701754,0.830985915,0.242256861,0.050288757
42,Croatia,0.003307947,0.002213844,0.003227094,0.009884195,0.085788005,0.059274389,0.798013245,0.04704412,0.006060201,5.17E-05,0.000634123,0.007015243,0.000908363,0.028730272,0.051337501,0.00046618,0.164872871,0.018398442,0.010191951,0.991215227,0.99122807,0.992957746,0.0287687,0.001143189
43,Cuba,0.006424645,0.003060576,0.01184777,0.013423627,0.041524367,0.06841587,0.705298013,0.006486808,0.022559279,0.006108043,0.003191868,0.023298179,0.008726448,0.109591439,0.635607101,0.007382224,0.033459342,0.003157479,0.003705911,0.913616398,0.860745614,0.908450704,0.027617952,0.01115144
44,Cyprus,0.000539237,0.000430337,0.001027471,0.016125689,0.189574699,0.03538261,0.850993377,0.001316394,0.007121876,0.000248547,1.80E-05,0.001059008,0.000327203,0.040379911,0.676716576,0.011271833,0.209042009,0.013394446,0.080296695,1,1,1,0.004602992,0.000354966
45,Czechia,0.004611006,0.003286088,0.010504535,0.017653341,0.12818486,0.041523084,0.872516556,0.00238063,0.008144026,6.28E-05,0.00454953,0.008717612,0.002412631,0.030978895,0.023587091,0.009038231,0.240649014,0.016830454,0.007630514,1,1,1,0.242256861,0.00378405
46,Democratic People's Republic of Korea,0.007048102,0.011300566,0.020471283,0.027201237,0.003451097,0.418394272,0.583461607,0.00595906,0.023162028,0.009607558,0.004915851,0.012362411,0.011370377,0.064039784,0.76742922,0.008958659,0.004509518,0.006138052,0.000750441,0.995607613,0.993421053,0.997652582,0.242256861,0.025224269
47,Democratic Republic of the Congo,0.137138837,0.047064759,0.038435551,0.003685111,0.002013435,0.365789219,0.140728477,0.035608348,2.07E-05,0.000104506,0.000630259,0.006355421,0.000891727,0,0.105723433,6.45E-05,0.093288788,0.002605228,0.011967771,0.288433382,0.235745614,0.572769953,0.242256861,6.28E-05
48,Denmark,0.002508448,0.000835455,0.006624639,0.017195907,0.383117197,0.029066284,0.970198675,0.002048405,9.65E-05,0.000270785,0.000549545,0.005481602,0.000933646,0.022205504,0.261726464,0.006359402,1,0.07230595,0.069775117,1,1,1,0.020713464,2.38E-05
49,Djibouti,0.001355112,0.000233298,0.000913878,0.004750109,0.011956875,0.026169182,0.200331126,0.000661969,0.037267984,4.36E-06,0,0.000197535,1.84E-05,0.002262156,0.158712844,0.002038475,0.101144359,0.152620965,0.037014052,0.852122987,0.612938596,0.938967136,0.586881473,0.050288757
50,Dominica,4.21E-05,2.61E-05,5.89E-05,0.012379398,0.043571923,0.269059597,0.650662252,0.005398718,0.037267984,1.45E-06,0,0.000238688,1.97E-05,0.051339748,0.050259067,0.003223781,0.101144359,4.59E-05,0.037014052,0.918008785,0.910087719,0.899061033,0.307249712,0.050288757
51,Dominican Republic,0.002844741,0.002845646,0.010434698,0.026974462,0.038543728,0.096215673,0.612582781,0.004532976,0.006174147,0.009381105,0.002642796,0.011706704,0.010407112,0.148791364,0.818654628,0.014188646,0.018449838,0.002757857,0.003747233,0.786237189,0.793859649,0.690140845,0.272727273,0.002692436
52,Ecuador,0.014992204,0.006609179,0.013168121,0.007809647,0.036758648,0.154312556,0.665562914,0.054766441,0.013451988,0.011738372,0.002357032,0.017715066,0.013026367,0.119140709,0.818496124,0.002183627,0.024020285,0.008594492,0.009986308,0.793557833,0.718201754,0.82629108,0.126582278,0.00914052
53,Egypt,0.05856867,0.058019665,0.051153823,0.011269304,0.019950014,0.201456161,0.559602649,0.001274521,0.05266911,0.089389535,0.005151984,0.131668185,0.095000624,0.156079349,0.855029777,0.037499327,0.011466832,0.008666037,0.014839354,0.982430454,0.978070175,0.997652582,0.242256861,0.199875953
54,El Salvador,0.001228783,0.002364017,0.005662312,0.039303072,0.02184922,0.11616946,0.533112583,0.008067238,0.016828433,0.002079942,0.000914477,0.006480252,0.002776628,0.062234906,0.679138106,0.004262344,0.025562926,0.000805429,0.003553628,0.877013177,0.804824561,0.920187793,0.126582278,0.004609594
55,Equatorial Guinea,0.001638767,0.000372853,0.000963938,0.004662467,0.141150931,0.018328775,0.412251656,0.048299103,0.037267984,1.45E-06,1.29E-05,0.000194792,1.94E-05,0.001755253,0.050766735,5.04E-05,0.101144359,0.017080962,0.653345207,0.234260615,0.255482456,0.330985915,0.741081703,0.050288757
56,Eritrea,0.006876154,0.003360735,0.002242306,0.003445295,0.003634185,0.294838631,0.139072848,0.004311441,0.000367286,0.000799419,4.29E-06,0.000403301,0.000758218,0.031938971,0.949913644,0.003603655,0.015987506,0.000376701,0.143432441,0.377745242,0.487938596,0.370892019,0.361334868,5.24E-05
57,Estonia,0.00264355,0.000491391,0.001213534,0.003660983,0.11446725,0.058391855,0.862582781,0.018539853,0.003732628,6.54E-06,0.006719045,0.000814833,0.002136676,0.230857094,0.002773339,0.00569725,0.032203269,0.002369746,0.000211913,0.992679356,0.985745614,0.997652582,0.006904488,0.000216873
58,Eswatini,0.001013556,0.00111517,0.000378638,0.008051395,0.02499284,0.182269014,0.337748344,0.008004681,0.014668138,0.001462209,8.89E-05,0.000544594,0.001396855,0.184956705,0.946828123,0.025063559,0.008677241,0.001907911,0.010739304,0.622254758,0.658991228,0.849765258,0.486766398,0.000695171
59,Ethiopia,0.064583916,0.087614517,0.022766738,0.010958786,0.002222447,0.793987563,0.150662252,0.002520336,0.005102683,0.012659752,0.000219389,0.011089407,0.012570397,0.017617578,0.914745569,0.009452826,0.006664087,0.001294647,0.013148512,0.29136164,0.371710526,0.809859155,0.454545455,0.020777043
61,Fiji,0.001066778,0.000473507,0.000622184,0.006074484,0.029151869,0.172836521,0.602649007,0.06322083,0.004161811,7.27E-05,4.12E-05,0.00032511,0.000104994,0.016659483,0.591979592,8.73E-05,0.103894922,0.003574218,0.010299649,0.935578331,0.903508772,0.988262911,0.220943613,0.000158093
62,Finland,0.019790949,0.000950219,0.006222017,0.001893202,0.313400032,0.040892039,0.943708609,0.038915042,0.092975147,7.27E-05,0.006290325,0.005568023,0.002519915,0.065168426,0.026140622,0.005021403,0.301433001,0.01669354,0.005360535,1,1,1,0.003452244,0.022106802
63,France,0.032112115,0.015566747,0.068091796,0.015199398,0.267780442,0.028655362,0.894039735,0.006358791,0.004249504,0.004234012,0.084878928,0.073779397,0.03687015,0.081484029,0.104339994,0.00793282,0.217993281,0.028616646,0.00290772,1,1,1,0.020713464,0.011861239
64,Gabon,0.015653091,0.000271931,0.002056534,0.000630984,0.063569148,0.059518081,0.552980132,0.181741368,0.00340273,5.86E-05,6.05E-05,0.001139943,0.000176217,0.013139793,0.291220764,0.00015346,0.236733952,0.002068376,0.087336116,0.88579795,0.594298246,0.924882629,0.375143843,0.000261436
65,Gambia,0.000659133,0.000895214,0.001387842,0.022244765,0.004385817,0.490405324,0.170529801,0.00804446,0.037267984,5.70E-05,9.10E-05,0.000543222,0.000126939,0.008199394,0.387825874,0.000705433,0.024517228,0.001107104,0.000792235,0.855051245,0.828947368,0.863849765,0.242256861,0.050288757
66,Georgia,0.004074693,0.002078651,0.003129327,0.007536232,0.025644946,0.145943628,0.680463576,0.029850341,0.022732629,0.001541888,0.0017268,0.004916084,0.002388978,0.082818973,0.584923509,0.001910713,0.017553948,0.006373592,0.000656173,0.97510981,0.960526316,1,0.085155351,0.004056895
67,Germany,0.020887554,0.021432676,0.084861224,0.029996843,0.285697107,0.014605295,0.975165563,0.003643236,0.001336859,0.000680669,0.089115004,0.069700661,0.034563477,0.059470723,0.01789315,0.01234427,0.317538132,0.032570322,0.006114536,1,1,1,0.018411968,0.004753384
68,Ghana,0.013949405,0.014282415,0.018170631,0.014294914,0.013419476,0.374015114,0.38410596,0.004141209,0.154592738,0.001403343,0.000407865,0.003476071,0.001722088,0.007683984,0.737744273,0.001844901,0.071452631,0.001996114,0.026343574,0.786237189,0.765350877,0.802816901,0.410817031,0.176474586
69,Greece,0.007716008,0.003030134,0.011878156,0.010656141,0.141372214,0.05743983,0.857615894,0.012153374,0.030930079,0.012039244,0.000540958,0.020911296,0.013048706,0.172113815,0.838038963,0.00648848,0.051162275,0.006291518,0.030900889,1,1,1,0.025316456,0.0146428
70,Grenade,1.81E-05,7.83E-05,4.31E-05,0.041909076,0.049143596,0.086018855,0.677152318,0.003565698,5.54E-06,3.07E-06,0.01702681,0.035075165,1.08E-05,0.021305228,0.160946575,0.002122883,0.101144359,0.028421664,0.037014052,0.950219619,0.948464912,0.976525822,0.242256861,2.61E-08
71,Guatemala,0.006366745,0.009019244,0.010143186,0.018464169,0.020940656,0.188569763,0.455298013,0.016045319,0.000821928,0.002741279,0.002589301,0.01143235,0.004361527,0.039227809,0.570311369,0.001847348,0.044011585,0.015080611,0.003764582,0.882869693,0.846491228,0.953051643,0.243958573,0.000551155
72,Guinea,0.01437752,0.008589302,0.005234438,0.005537829,0.003673804,0.301095539,0.15397351,0.04064254,0.00466703,0.000425727,0.000241285,0.003061796,0.000747574,0.008302117,0.513012052,0.000276596,0.029712635,0.000750531,0.007035482,0.631039531,0.61622807,0.816901408,0.756041427,0.002182992
73,Guinea-Bissau,0.002111331,0.001121014,0.000900853,0.00568411,0.00319245,0.839901701,0.163907285,0.037477026,0,0.000209302,5.11E-05,0.000445826,0.000243103,0.02048066,0.761821653,0.000474644,0.007199171,0.001351025,0.001459729,0.613469985,0.527412281,0.823943662,0.63981588,0
74,Guyana,0.012570899,0.000641883,0.000261455,0.000227816,0.024142649,0.273907494,0.51986755,0.687223044,0.028987885,0.001981105,8.76E-05,0.000818948,0.001891865,0.35921234,0.948336801,0.001057387,0.004228542,0.002791024,0.006813099,0.939970717,0.947368421,0.941314554,0.287686997,0.00096155
75,Haiti,0.001621221,0.006020077,0.006898081,0.049029517,0.004218556,0.31444068,0.231788079,0.002620303,0.000784074,0.001757267,0.000218959,0.002584419,0.00189883,0.024836111,0.838113275,0.004317643,0.012448719,0.003007003,0.00744226,0.39238653,0.42872807,0.232394366,0.577675489,0.000352939
77,Honduras,0.006577293,0.004609605,0.006130765,0.010004323,0.013558577,0.242567409,0.433774834,0.020432319,0.018179918,0.001712209,0.000489438,0.004299134,0.002105139,0.033243415,0.736841087,0.001485024,0.029308599,0.003230856,0.006699904,0.843338214,0.790570175,0.924882629,0.163406214,0.00689794
78,Hungary,0.005439163,0.003465761,0.009321249,0.013901801,0.084706234,0.069510102,0.80794702,0.020196185,0.000703417,0.000468023,0.017229092,0.009799941,0.006630793,0.094804899,0.064080062,0.002811185,0.051936072,0.010632577,0.000758885,1,1,1,0.026467204,0.000304692
79,Iceland,0.006022264,2.41E-05,0.00040509,0.000180826,0.297019944,0.117091928,0.943708609,1,0.191640938,4.36E-07,0.000858664,0.001267518,0.00038016,0.168754572,0.00102465,0.000120276,0.101144359,0.017080962,0.001725831,1,1,1,0,0.002740445
80,India,0.192255685,1,0.542038442,0.051117348,0.008916344,0.301341078,0.433774834,0.002891908,0.005087617,1,0.072986433,0.768170495,1,0.11163931,0.908757907,0.021485716,0.005364313,0.004987824,0.004430793,0.88579795,0.893640351,0.915492958,0.361334868,0.282781988
81,Indonesia,0.111760172,0.140432503,0.173122605,0.017100479,0.023497545,0.239119866,0.569536424,0.015564479,0.002507501,0.249119601,0.063441603,0.277524984,0.271222322,0.154978663,0.834685762,0.008412056,0.00891819,0.003778836,0.003309968,0.790629575,0.75,0.849765258,0.239355581,0.027356601
82,Iran (Islamic Republic of),0.102064425,0.025007545,0.074415675,0.005532495,0.051145471,0.135957665,0.735099338,0.003475296,0.014542147,0.125,0.004722652,0.085027929,0.122596075,0.231320249,0.926533718,0.026269069,0.011423002,0.003990486,0.022283232,0.941434846,0.908991228,0.94600939,0.242256861,0.048237394
83,Iraq,0.025453527,0.011602781,0.030865238,0.00953176,0.043006955,0.073329762,0.536423841,0.005397797,0.128819321,0.056395349,0.01367729,0.023690114,0.057437021,0.256935635,0.892180568,0.019831057,0.009282541,0.001620425,0.004329808,0.796486091,0.654605263,0.856807512,0.255466053,0.180390935
84,Ireland,0.004108615,0.002061795,0.003922895,0.008504636,0.315879813,0.016985616,0.928807947,0.021616085,0.005103317,0.000260174,0.000218959,0.008592781,0.001120901,0.033282954,0.209705666,0.001168759,0.64450003,0.000286521,0.155766072,0.966325037,0.974780702,0.943661972,0.016110472,0.001032673
85,Israel,0.001289023,0.000716849,0.00959684,0.045779544,0.219146417,0.022221743,0.918874172,0.000447773,0.037267984,0.001609302,0.000528937,0.010548928,0.002622882,0.047741843,0.556190299,0.03519863,0.352063158,0.030721084,0.072658882,1,1,1,0.016110472,0.050288757
86,Italy,0.017622302,0.021662789,0.05565138,0.02626285,0.22925749,0.034730791,0.887417219,0.006119865,0.004540966,0.023713663,0.035895454,0.129624244,0.044838362,0.105732504,0.480547501,0.009671276,0.140277874,0.014940569,0.006846112,1,1,1,0.013808976,0.011940026
87,Jamaica,0.000641002,0.001509077,0.002078081,0.03425223,0.033530998,0.102853696,0.635761589,0.007294714,5.19E-05,0.000489203,0.003278188,0.004056788,0.001829789,0.090962583,0.242092972,0.004443648,0.024089171,0.007857734,0.000181621,0.909224012,0.88377193,0.941314554,0.13118527,6.48E-06
88,Japan,0.02210347,0.013164834,0.158797221,0.045078576,0.317233077,0.019872699,0.92218543,0.006413994,0.006628164,0.079113372,0.04984544,0.211368151,0.107024356,0.11787337,0.671725239,0.01206297,0.150199158,0.010768746,0.014999359,1,1,1,0.003452244,0.037378083
89,Jordan,0.005222181,0.001093593,0.009553625,0.011839588,0.024699392,0.068710502,0.642384106,0.00022187,0.000919652,0.000671512,0.00014168,0.004834125,0.001109074,0.017943786,0.546989143,0.030387879,0.110303991,0.021554281,0.046462013,0.954612006,0.913377193,0.950704225,0.149597238,0.0003267
90,Kazakhstan,0.159365712,0.008431469,0.013070363,0.000579081,0.080147652,0.07627067,0.735099338,0.012397092,0.129154987,0.01815407,0.027550232,0.034094027,0.028106624,0.239255233,0.586833459,0.009581482,0.01933917,0.000611978,0.001204576,0.89897511,0.846491228,0.981220657,0.093210587,0.095004585
91,Kenya,0.033941545,0.038224301,0.014425556,0.009949977,0.006820399,0.467934582,0.342715232,0.001326214,0.015113625,0.002772491,0.000536798,0.016251315,0.004223155,0.011834753,0.595674589,0.008569252,0.032559982,0.003545652,0.011911839,0.437774524,0.504385965,0.589201878,0.377445339,0.029429123
92,Kiribati,4.56E-05,6.29E-05,6.27E-05,0.017274519,0.010957353,0.435871396,0.427152318,0,0.037267984,0.022984565,0.01702681,0.035075165,0.029122166,0.08520412,0.532124372,0.021077952,0.101144359,0.017080962,0.037014052,0.512445095,0.458333333,0.704225352,0.481012658,0.050288757
93,Kuwait,0.001040459,0,0.004598264,0.024824496,0.336692956,0.005845233,0.764900662,1.14E-05,0.037267984,0.000933777,0.000100034,0.006127707,0.001457353,0.0609372,0.579663253,1,0.328530245,0.010237524,0.594933106,0.985358712,0.989035088,0.976525822,0.064441887,0.050288757
94,Kyrgyzstan,0.011692445,0.004183525,0.002680012,0.003509051,0.006990067,0.297914757,0.514900662,0.008048035,0.113465909,0.010319767,0.001442555,0.003050821,0.010059199,0.255392031,0.931695505,0.016166987,0.001356657,0.001781649,0.000255275,0.818448023,0.810307018,0.920187793,0.242256861,0.028009317
95,Lao People's Democratic Republic,0.01384764,0.005106526,0.002712622,0.003389032,0.009675687,0.331867402,0.382450331,0.099130984,0.04459613,0.00925,0.000729864,0.001761356,0.008750386,0.193361002,0.959930086,0.001395456,0.003489454,0.001832698,0.002665046,0.58272328,0.615131579,0.617370892,0.242256861,0.012620235
96,Latvia,0.003769398,0.000768221,0.0018951,0.004038938,0.088993735,0.055439745,0.806291391,0.032349225,0.013145167,5.93E-05,0.000241714,0.002215412,0.00033535,0.021873759,0.157614908,0.000463929,0.240675636,0.000263284,0.013193571,0.98682284,0.974780702,0.995305164,0.025316456,0.001194288
97,Lebanon,0.00060942,0.00070396,0.00583683,0.07043838,0.058449247,0.065824333,0.67218543,0.001557702,0.001114234,0.001052326,0.002897991,0.003846449,0.00220238,0.05544266,0.4329276,0.016743866,0.0747916,0.026380337,0.001273713,0.985358712,0.989035088,0.976525822,0.058688147,0.000270943
98,Lesotho,0.001773869,0.001798156,0.000720513,0.008611459,0.007654353,0.089016025,0.235099338,0.002872933,0.037879137,5.52E-06,8.59E-05,0.000252406,5.10E-05,0.002234042,0.087207514,0.000820596,0.13081934,0.000305831,0.004337593,0.724743777,0.744517544,0.866197183,0.812428078,0.003351605
99,Liberia,0.006511789,0.002489845,0.002747803,0.004712058,0.001946395,1,0.193708609,0.10746031,0.001561312,1.79E-05,0.000229263,0.001078213,0.000185152,0.004790694,0.084741128,7.66E-05,0.00841003,0.000309967,0.000247073,0.603221083,0.565789474,0.676056338,0.730724971,0.000283539
100,Libya,0.102906033,0.001542387,0.006593644,0.000235606,0.106677217,0.015520396,0.668874172,0.000213327,0.001678607,0.007049419,0.001202129,0.009580457,0.007654452,0.173242298,0.836214328,0.264145085,0.067151049,0.001605124,0.053681835,0.578330893,0.652412281,0.345070423,0.107019563,0.000463324
102,Lithuania,0.003817356,0.001165503,0.002746813,0.005979836,0.092087781,0.070902498,0.822847682,0.015410034,0.004400249,9.28E-05,0.002286721,0.001405724,0.000913998,0.041558634,0.091615167,0.001242237,0.13598734,0.000429508,0.002665508,0.938506589,0.878289474,0.981220657,0.025316456,0.000588469
103,Luxembourg,0.000149723,6.63E-05,0.000636336,0.027096923,0.700145999,0.005848065,0.917218543,0.012629767,0.003160662,2.91E-07,1.59E-05,0.000534991,5.19E-05,0.013956652,0.004517669,0.00118662,0.101144359,0.017080962,0.221198531,1,1,1,0.008055236,7.37E-05
104,Madagascar,0.03434685,0.017280013,0.010064814,0.004834151,0.002627684,0.501285811,0.279801325,0.028888328,0.00059759,0.018895349,0.000695088,0.005396552,0.017808133,0.112668951,0.963889791,0.003658471,0.001311814,0.001637986,0.001475145,0.248901903,0.265350877,0.539906103,0.436133487,0.000586401
105,Malawi,0.006927622,0.015693955,0.003444863,0.01709114,0.001556299,0.535964928,0.188741722,0.002150009,7.34E-05,0.001694767,0.000204791,0.001941058,0.001776359,0.014768494,0.86382772,0.005649835,0.006698372,0.000460907,0.002364521,0.775988287,0.811403509,0.884976526,0.386651323,4.96E-05
106,Malaysia,0.019345289,0.009365724,0.028593707,0.011479413,0.070188092,0.174948953,0.735099338,0.038222127,0.020900941,0.003640988,0.007045337,0.018387235,0.007205041,0.03377526,0.458815465,0.001003834,0.123864463,0.015815894,0.009710776,0.969253294,0.916666667,1,0.060989643,0.026678588
107,Maldives,1.58E-05,0.000280571,0.000186989,0.176368664,0.048419344,0.092442902,0.579470199,0.000144669,0,0,1.29E-06,5.49E-05,1.18E-06,0.00093425,0,0.005055618,0.101144359,0.017080962,0.158234444,0.979502196,0.976973684,0.988262911,0.073647871,0
108,Mali,0.072531527,0.011567026,0.008156489,0.001477671,0.004334204,0.672159099,0.11589404,0.014385435,0.023362673,0.007376453,1.72E-05,0.001445848,0.006808192,0.059403795,0.983666667,0.002578248,0.00290957,0.000430439,0.09007664,0.573938507,0.547149123,0.795774648,0.730724971,0.016393234
109,Malta,1.70E-05,2.82E-05,0.000529543,0.175572367,0.143354972,0.023206784,0.854304636,0.00022934,0,3.50E-05,4.29E-06,0.000181074,4.59E-05,0.01598926,0.607139611,0.025660315,0.54436826,0.030769921,0.214881563,1,1,1,0.050632911,0
110,Marshall Islands,8.77E-06,1.56E-05,4.50E-05,0.04178594,0.022545969,0.375329308,0.583461607,0,0.037267984,0.022984565,0.01702681,0.035075165,0.029122166,0.08520412,0.532124372,0.021077952,0.101144359,0.017080962,0.037014052,0.919472914,0.972587719,0.845070423,0.309551208,0.050288757
111,Mauritania,0.060279374,0.002288785,0.002506721,0.000238777,0.010031576,0.308078649,0.273178808,0.005891681,0.003650593,0.001777616,0.000136528,0.001286722,0.001767686,0.066905372,0.910484956,0.00427317,0.008812626,0.003377308,0.009432441,0.366032211,0.514254386,0,0.599539701,0.000594173
112,Mauritius,0.000117556,0.000851548,0.000694536,0.081714179,0.060511935,0.064959669,0.71192053,0.004204121,0.002005022,0.000530523,4.72E-05,0.002803902,0.000758218,0.085791322,0.630397237,0.006830111,0.044829025,0.005593777,0.031116856,0.997071742,0.996710526,0.997652582,0.127733026,0.000110362
113,Mexico,0.114886228,0.030216698,0.128513611,0.007721867,0.064664113,0.056296253,0.685430464,0.007544652,0.03514068,0.092078488,0.031783445,0.164316364,0.108710307,0.131323051,0.769683661,0.01002299,0.036031054,0.003706543,0.007754407,0.928257687,0.88377193,0.922535211,0.135788262,0.180963718
115,Monaco,0.041207914,0,4.30E-05,0.023999144,1,0.205713685,0.583461607,0.036509663,0.037267984,0,0,4.66E-05,0,0.024021623,0,0.021077952,0.101144359,0.017080962,0.037014052,1,0.800654395,1,0.012658228,0.050288757
116,Mongolia,0.091476774,0.001041922,0.002589028,0,0.027975454,0.201194975,0.630794702,0.023600003,0.002395145,0.000368241,0.000704104,0.000978759,0.000637718,0.030901445,0.519401783,0.001154835,0.044243539,0.007191162,0.002557357,0.46852123,0.493421053,0.248826291,0.16570771,0.000297087
117,Montenegro,0.000805932,0.000255308,0.000542425,0.005804378,0.042183087,0.132984029,0.761589404,0.036509663,0.044446208,2.47E-06,0.00026962,0.00130044,0.000204863,0.046663231,0.010620313,0.021077952,0.051228365,0.060013911,0.000693688,0.989751098,0.979166667,1,0.012658228,0.00122162
118,Morocco,0.026114999,0.015772124,0.026736908,0.009688035,0.018625282,0.220400387,0.493377483,0.001671156,0.014566938,0.01330814,0.000910184,0.01455999,0.013700484,0.057374149,0.882316213,0.016397235,0.019971478,0.00445504,0.017303761,0.774524158,0.614035088,0.964788732,0.218642117,0.021263421
119,Mozambique,0.04675048,0.019968143,0.011433384,0.003907522,0.00340883,0.445971014,0.099337748,0.016726959,0.080695391,0.001443729,0.000121759,0.004594202,0.00177814,0.008443579,0.735138292,0.000513178,0.017712045,0.000755078,0.010147465,0.269399707,0.301535088,0.53286385,0.66858458,0.088099902
120,Myanmar,0.039569031,0.041765177,0.020235062,0.009894484,0.007094973,0.547701172,0.336092715,0.043510533,0.008174411,0.042979651,0.00213979,0.045562043,0.043872036,0.120749872,0.890145739,0.001866552,0.002946023,0.002594911,0.004999926,0.711566618,0.719298246,0.828638498,0.433831991,0.018455015
121,Namibia,0.048207357,0.001476244,0.001333686,0.000114265,0.037070217,0.143757816,0.453642384,0.034833328,0.008736398,0.000292151,6.01E-05,0.000979445,0.000371882,0.022904613,0.701532815,0.000269638,0.084870147,0.001030224,0.033044771,0.83601757,0.797149123,0.957746479,0.355581128,0.000841982
123,Nepal,0.008606159,0.026430271,0.006540251,0.024217431,0.003484982,0.593548346,0.347682119,0.014919289,8.55E-05,0.013546512,0.000126653,0.002002787,0.012473275,0.064566524,0.986436929,0.002678055,0.00463444,0.009763406,0.0132829,0.837481698,0.871710526,0.802816901,0.30840046,0.000101366
124,Netherlands,0.002427738,0.002218814,0.020169128,0.053675108,0.328225022,0.029152014,0.965231788,0.010381209,0.014881801,8.75E-05,0.040554697,0.01667252,0.014084455,0.118697775,0.005643084,0.006570593,0.179687172,1,0.002126353,1,1,1,0.019562716,0.010973188
125,New Zealand,0.015655431,0.000716035,0.005214015,0.001985402,0.258865944,0.098293728,0.938741722,0.140182886,0.102276728,0.004661337,0.00508329,0.011089407,0.006827903,0.21788274,0.619807072,0.001977089,0.081753354,0.040900087,0.003782938,1,1,1,0.031070196,0.020068432
126,Nicaragua,0.007623016,0.002905538,0.004561067,0.005879708,0.011014912,0.315074521,0.475165563,0.052679171,0.144778269,0.001722384,0.000315988,0.00390132,0.002023141,0.046875765,0.771163988,0.000861496,0.015140414,0.003165428,0.005369076,0.79795022,0.656798246,0.974178404,0.164556962,0.038033563
127,Niger,0.074099526,0.017205286,0.003891567,0.001632448,0.002651125,0.617798692,0,0.003665378,0.00014241,0.001708818,5.88E-05,0.000824435,0.001637418,0.011403463,0.944600504,0.001913879,0.011438346,4.73E-05,0.023731591,0.358711567,0.418859649,0.957746479,0.561565017,0.000111281
