,country,water security index,Total area of the country (excl. coastal water) (1000 ha),Rural population (1000 inhab),Urban population (1000 inhab),Population density (inhab/km2),GDP per capita (current US$/inhab),"Agriculture, value added (% GDP) (%)",Human Development Index (HDI) [highest = 1] (-),Total renewable water resources per capita (m3/inhab/yr),Dam capacity per capita (m3/inhab),Agricultural water withdrawal (10^9 m3/year),Industrial water withdrawal (km<sup>3</sup>/year or 10<sup>9</sup>m<sup>3</sup>/year),Municipal water withdrawal (km<sup>3</sup>/year or 10<sup>9</sup>m<sup>3</sup>/year),Total water withdrawal (10^9 m3/yr),Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),Agricultural water withdrawal as % of total water withdrawal (%),SDG 6.4.2. Water Stress (%),SDG 6.4.1. Water Use Efficiency (US$/m3),SDG 6.4.1. Irrigated Agriculture Water Use Efficiency (US$/m3),SDG 6.4.1. Industrial Water Use Efficiency (US$/m3),Total population with access to safe drinking-water (JMP) (%),Rural population with access to safe drinking-water (JMP) (%),Urban population with access to safe drinking-water (JMP) (%),"Mortality rate, infant (per 1,000 live births)",Resilience and securityStorage drought duration index(Total dam capacity_km3)
17,Malaysia,3,0.019345289,0.008732195,0.028284526,0.011596232,0.060108655,0.103928522,0.739655172,0.036678451,0.020588146,0.003640988,0.007825465,0.016881952,0.007205041,0.034670752,0.458815465,0.000886136,0.044911575,0.017514123,0.001515212,0.973645681,0.923245614,1,0.071788413,0.026678588
18,Maldives,3,1.58E-05,0.000297456,0.000195588,0.2082285,0.064734675,0.064724906,0.59137931,0.000118876,0,0,1.43E-06,5.04E-05,1.18E-06,0.000719535,0,0.004061637,0.038222295,0.022992088,0.032406751,0.979502196,0.976973684,0.989858012,0.061712846,0
19,Marshall Islands,2,8.77E-06,1.40E-05,4.01E-05,0.04038792,0.022930836,0.200102944,0.556896552,0,0.037034498,0.02321838,0.017546045,0.032869528,0.0292855,0.089683368,0.532361007,0.017892015,0.038222295,0.022992088,0.010387795,0.920937042,0.973684211,0.868154158,0.312342569,0.051617935
20,Mongolia,3,0.091476551,0.001094263,0.002485123,0,0.021769119,0.124924024,0.613793103,0.021983596,0.002290202,0.00036468,0.000792561,0.000550389,0.000601055,0.028906869,0.545415225,0.000874584,0.018067214,0.009166222,0.000546892,0.478770132,0.552631579,0.318458418,0.14861461,0.000297087
21,Myanmar,2,0.039571371,0.041820542,0.01918184,0.009689454,0.006888888,0.282138417,0.351724138,0.043030623,0.008298412,0.042979651,0.002376729,0.041832077,0.043872036,0.127326743,0.890145739,0.001499571,0.001289681,0.002965471,0.001026957,0.715959004,0.719298246,0.851926978,0.430730479,0.018455015
22,Nepal,2,0.008606159,0.026583586,0.006711122,0.023404284,0.004645195,0.327520249,0.346551724,0.014962975,8.81E-05,0.013546512,0.000140677,0.001838828,0.012473275,0.069179682,0.986436929,0.002151525,0.001580184,0.010638276,0.001964141,0.877013177,0.910087719,0.815415822,0.302267003,0.000101366
23,New Zealand,4,0.015655431,0.000716242,0.004816791,0.001962127,0.262186577,0.070083801,0.943103448,0.136795006,0.102448911,0.004661337,0.005646161,0.010181565,0.006827903,0.22648821,0.619807072,0.002083027,0.027116167,0.050489848,0.000571392,1,1,1,0.028967254,0.020068432
24,Pakistan,2,0.046558648,0.140820847,0.085127643,0.032653316,0.008650369,0.276645087,0.318965517,0.002334995,0.003815298,0.250581395,0.006676204,0.121518822,0.241059402,0.180323122,0.944634856,0.031856976,0.001013685,0.005270708,0.000696934,0.874084919,0.889254386,0.876267748,0.681360202,0.033045799
25,Palau,3,2.51E-05,5.04E-06,1.23E-05,0.004626796,0.078718622,0.038489815,0.755172414,0,0.037034498,0.02321838,0.017546045,0.032869528,0.0292855,0.089683368,0.532361007,0.017892015,0.038222295,0.022992088,0.010387795,0.931185944,0.846491228,0.939148073,0.17884131,0.051617935
26,Papua New Guinea,2,0.02706773,0.008063358,0.001273797,0.002046176,0.015444881,0.222718763,0.293103448,0.18672368,0,1.45E-06,0.000799237,0.002794767,0.000508676,0.007854839,0.002563584,2.72E-05,0.038222295,0.022992088,0.000789964,0.121522694,0.263157895,0.756592292,0.431989924,0
